route_id,nearest_substation_distance_km,nearest_substation_osm_id,nearest_mapped_charger_distance_km,nearest_charger_osm_id,electricity_kwh_day_low,electricity_kwh_day_base,electricity_kwh_day_high,candidate_terminal_count,site_control_verified,utility_capacity_verified,charging_site_verified,verified_available_capacity_kw,terminal_evidence_score,site_evidence_reference_count,mapped_substation_proximity_score,mapped_charger_proximity_score,energy_manageability_score,charging_readiness_score,charging_evidence_confidence,charging_claim_status,charging_source_ids,charging_method_version,charging_optional_osm_available,charging_limitation
LTFRB_PUJ1001,0.747,way/440588497,1.195,node/9462686325,1811.418,2156.45,2213.955,0,False,False,False,,0.0,0,100.0,82.0,84.96467565831728,76.74,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1002,0.747,way/440588497,1.195,node/9462686325,1742.16,2074.0,2129.307,0,False,False,False,,0.0,0,100.0,82.0,85.58766859344894,76.9,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1003,0.727,way/617091970,3.355,node/13895420988,908.922,1082.05,1110.905,0,False,False,False,,0.0,0,100.0,58.0,93.08285163776493,72.77,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1004,0.727,way/617091970,3.355,node/13895420988,908.922,1082.05,1110.905,0,False,False,False,,0.0,0,100.0,58.0,93.08285163776493,72.77,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1005,0.764,way/450041326,1.512,node/13895420988,1154.895,1374.875,1411.538,0,False,False,False,,0.0,0,100.0,82.0,90.87026332691073,78.22,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1006,0.764,way/450041326,1.512,node/13895420988,1266.993,1508.325,1548.547,0,False,False,False,,0.0,0,100.0,82.0,89.86191393705845,77.97,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1007,0.374,way/291478089,1.777,node/6836063735,801.465,954.125,979.568,0,False,False,False,,0.0,0,100.0,82.0,94.04945407835581,79.01,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1008,0.374,way/291478089,1.777,node/6836063735,803.964,957.1,982.623,0,False,False,False,,0.0,0,100.0,82.0,94.02697495183044,79.01,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1009,0.194,way/182922897,4.536,node/13895420988,420.189,500.225,513.564,0,False,False,False,,0.0,0,100.0,58.0,97.4791265253693,73.87,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1010,0.194,way/182922897,4.536,node/13895420988,420.189,500.225,513.564,0,False,False,False,,0.0,0,100.0,58.0,97.4791265253693,73.87,38.0,PROXY,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,charging-v1.0,True,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
