city,route_count,avg_just_transition_score,portfolio_climate_low_t_year_if_all,portfolio_climate_high_t_year_if_all,top_5_route_ids,top_5_route_names,city_tag_method
Manila,612,54.72,-192303.0,523271.5,LTFRB_PUJ1638|LTFRB_PUJ1639|LTFRB_PUJ2120|LTFRB_PUJ2101|LTFRB_PUJ2102,"EDSA/Shaw Central - Morong via Antipolo, Theresa|EDSA/Shaw Central - Morong via Antipolo, Theresa|ALMAR ZABARTE - WELCOME RTDA via REGALADO QA|ARROCEROS - FAIRVIEW MARKET|ARROCEROS - FAIRVIEW MARKET",text_fallback
Quezon City,590,55.33,-198486.0,540096.0,LTFRB_PUJ1353|LTFRB_PUJ1352|LTFRB_PUJ1350|LTFRB_PUJ1405|LTFRB_PUJ2119,"Francisco Homes - Cubao|Francisco Homes - Cubao|Francisco Homes - Philcoa|Bagong Silang - Philcoa via Commonwealth Ave., Maligaya Park|ALMAR ZABARTE - WELCOME RTDA via REGALADO QA",text_fallback
Caloocan,195,54.89,-71851.4,195513.4,LTFRB_PUJ2120|LTFRB_PUJ2101|LTFRB_PUJ2102|LTFRB_PUJ1405|LTFRB_PUJ2119,"ALMAR ZABARTE - WELCOME RTDA via REGALADO QA|ARROCEROS - FAIRVIEW MARKET|ARROCEROS - FAIRVIEW MARKET|Bagong Silang - Philcoa via Commonwealth Ave., Maligaya Park|ALMAR ZABARTE - WELCOME RTDA via REGALADO QA",text_fallback
Pasay,173,54.78,-56073.1,152579.3,LTFRB_PUJ1241|LTFRB_PUJ1240|LTFRB_PUJ1897|LTFRB_PUJ1609|LTFRB_PUJ1608,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.|Dasmarinas Resettlement Area - Baclaran via Coastal Rd.|MCU - PASAY RTDA|Proj 6 - Vito cruz via Quezon Avenue|Proj 6 - Vito cruz via Quezon Avenue,text_fallback
Makati,113,50.13,-21392.4,58210.5,LTFRB_PUJ2085|LTFRB_PUJ1370|LTFRB_PUJ1747|LTFRB_PUJ1371|LTFRB_PUJ1746,BACLARAN - DAPITAN via TAFT|Guadalupe (ABC) - FTI via J.P. Rizal Extension|GUDALUPE-FTI via J.P.RIZAL Ext. C5|Guadalupe (ABC) - FTI via J.P. Rizal Extension|GUDALUPE-FTI via J.P.RIZAL Ext. C5,text_fallback
Pasig,92,53.3,-33600.8,91430.4,LTFRB_PUJ1156|LTFRB_PUJ1157|LTFRB_PUJ2437|LTFRB_PUJ2584|LTFRB_PUJ2212,Binangonan - Pasig (TP)|Binangonan - Pasig (TP)|Tanay Pasig (Palengke)|Pasig-Stop Shop|EDSA Shaw Quiapo via Sta Mesa,text_fallback
Muntinlupa,81,52.23,-34648.6,94281.7,LTFRB_PUJ1022|LTFRB_PUJ1786|LTFRB_PUJ1784|LTFRB_PUJ1693|LTFRB_PUJ1785,"Alabang - GMA via South Expressway, Carmona Exit|PASAY ROTUNDA - ALABANG (KANAN) via NICHOLS SERVICE RD|PASAY ROTUNDA - ALABANG via SKYWAY|PASAYRTDA-SCATALABNGvFTISERVICERD|PASAY ROTUNDA - ALABANG via SKYWAY",text_fallback
Antipolo,76,54.62,-33189.1,90310.2,LTFRB_PUJ1638|LTFRB_PUJ1639|LTFRB_PUJ1043|LTFRB_PUJ1640|LTFRB_PUJ1643,"EDSA/Shaw Central - Morong via Antipolo, Theresa|EDSA/Shaw Central - Morong via Antipolo, Theresa|Antipolo - Cubao via Marcos Highway|EDSA/Shaw Central - Tanay via Antipolo|Tanay - Robinson Galleria via Antipolo San Miguel",text_fallback
Mandaluyong,75,54.74,-25044.2,68147.2,LTFRB_PUJ1638|LTFRB_PUJ1153|LTFRB_PUJ1639|LTFRB_PUJ1152|LTFRB_PUJ1640,"EDSA/Shaw Central - Morong via Antipolo, Theresa|Binangonan - JRC via Angono|EDSA/Shaw Central - Morong via Antipolo, Theresa|Binangonan - JRC via Angono|EDSA/Shaw Central - Tanay via Antipolo",text_fallback
Taguig,64,53.96,-19998.5,54417.6,LTFRB_PUJ1024|LTFRB_PUJ1592|LTFRB_PUJ1034|LTFRB_PUJ2306|LTFRB_PUJ1593,Alabang - FTI via South Super Highway|Sucat - Market-Market|Alabang - Signal Village via South Expressway Service Road|Binan Bicutan(Taguig) via Sucat SSH|Sucat - Market-Market,text_fallback
Paranaque,62,49.91,-23892.2,65012.6,LTFRB_PUJ2083|LTFRB_PUJ2084|LTFRB_PUJ1016|LTFRB_PUJ2087|LTFRB_PUJ2457,"BACLARAN - DASMARINAS B BAYAN|BACLARAN - DASMARINAS B BAYAN|Alabang - Baclaran via San Dionisio, Zapote|BACLARAN - ALABANG via SAN DIONISIO|Alabang Baclaran via Coastal",text_fallback
Valenzuela,58,46.86,-22327.3,60754.3,LTFRB_PUJ1672|LTFRB_PUJ1671|LTFRB_PUJ2539|LTFRB_PUJ1615|LTFRB_PUJ1614,PIER-MALANDAY|PIER-MALANDAY|Malinta Pier via Monumento|Malanday-Sta Cruz|Malanday-Sta Cruz,text_fallback
Marikina,53,50.32,-20549.5,55916.8,LTFRB_PUJ1577|LTFRB_PUJ1576|LTFRB_PUJ1458|LTFRB_PUJ1459|LTFRB_PUJ1589,"Recto - SSS Village via Aurora Blvd., Espana|Recto - SSS Village via Aurora Blvd., Espana|Marikina - SM Fairview|Marikina - SM Fairview|SSS Village - Stop & Shop via Aurora Blvd.",text_fallback
Malabon,44,53.69,-15678.3,42661.8,LTFRB_PUJ2617|LTFRB_PUJ2618|LTFRB_PUJ1849|LTFRB_PUJ1850|LTFRB_PUJ2508,Dampalit Hulo Palengke|Dampalit Hulo Palengke|RECTO - GASAK|RECTO - GASAK|Gasak-Sta Cruz via,text_fallback
Pateros,34,53.81,-7974.9,21700.4,LTFRB_PUJ1526|LTFRB_PUJ1150|LTFRB_PUJ1151|LTFRB_PUJ1686|LTFRB_PUJ1687,"Pasig (TP) - Quiapo (Echague) via Sta. Mesa, C. Palanca|Bicutan (Taguig) - Pasig (TP) via Pateros|Bicutan (Taguig) - Pasig (TP) via Pateros|PASIGPALENGKE-TIPASTAGUIGVI PATEROS|PASIGPALENGKE-TIPASTAGUIGVI PATEROS",text_fallback
San Juan,34,47.7,-8442.5,22972.6,LTFRB_PUJ1580|LTFRB_PUJ1581|LTFRB_PUJ1284|LTFRB_PUJ1285|LTFRB_PUJ2595,"San Juan (Pinaglabanan) - San Juan, Taytay (Resettlement Area)|San Juan (Pinaglabanan) - San Juan, Taytay (Resettlement Area)|Divisoria - San Juan|Divisoria - San Juan|Taytay-Rosario",text_fallback
Bacoor,30,50.35,-10922.7,29721.4,LTFRB_PUJ2407|LTFRB_PUJ2408|LTFRB_PUJ2443|LTFRB_PUJ2442|LTFRB_PUJ1101,Resettlement Zapote (DBB)|Resettlement Zapote (DBB)|Treze Martirez Zapote (Las Pinas)|Treze Martirez Zapote (Las Pinas)|Baclaran - Bahayang PAG-ASA Subd.,text_fallback
Las Pinas,26,47.33,-8853.7,24091.7,LTFRB_PUJ1648|LTFRB_PUJ1649|LTFRB_PUJ2443|LTFRB_PUJ2442|LTFRB_PUJ1042,Silang - Zapote (Las Pinas)|Silang - Zapote (Las Pinas)|Treze Martirez Zapote (Las Pinas)|Treze Martirez Zapote (Las Pinas)|Almanza ( Las Piñas ) - Baclaran,text_fallback
San Jose del Monte,26,60.23,-16051.1,43676.3,LTFRB_PUJ1353|LTFRB_PUJ1352|LTFRB_PUJ1350|LTFRB_PUJ1351|LTFRB_PUJ2418,Francisco Homes - Cubao|Francisco Homes - Cubao|Francisco Homes - Philcoa|Francisco Homes - Philcoa|Sapang Palay Jordan Plains via Quirino Highway,text_fallback
Binangonan,25,56.35,-17030.6,46341.7,LTFRB_PUJ1156|LTFRB_PUJ1157|LTFRB_PUJ1153|LTFRB_PUJ1152|LTFRB_PUJ1315,"Binangonan - Pasig (TP)|Binangonan - Pasig (TP)|Binangonan - JRC via Angono|Binangonan - JRC via Angono|EDSA/Shaw Central - Morong via Binangonan, Cardona",text_fallback
Navotas,18,56.31,-5251.9,14290.8,LTFRB_PUJ1488|LTFRB_PUJ1489|LTFRB_PUJ2360|LTFRB_PUJ2359|LTFRB_PUJ1883,Navotas - Recto via Heroes del 96|Navotas - Recto via Heroes del 96|Navotas Recto|Navotas Recto|NAVOTAS - RECTO via DAGAT_DAGATAN C3_C4,text_fallback
Dasmarinas,16,61.25,-10152.5,27625.7,LTFRB_PUJ1241|LTFRB_PUJ2083|LTFRB_PUJ1240|LTFRB_PUJ2084|LTFRB_PUJ2407,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.|BACLARAN - DASMARINAS B BAYAN|Dasmarinas Resettlement Area - Baclaran via Coastal Rd.|BACLARAN - DASMARINAS B BAYAN|Resettlement Zapote (DBB),text_fallback
Unspecified,16,29.12,-4698.1,12784.0,LTFRB_PUJ2389|LTFRB_PUJ2447|LTFRB_PUJ2476|LTFRB_PUJ2477|LTFRB_PUJ2546,Pier South via Road 10|Victoria Homes Subd Alabang Terminal via DH|Baliwag Malinta|Baliwag Malinta|Meycauayan Plaridel,text_fallback
Binan,12,50.94,-6028.9,16405.1,LTFRB_PUJ2306|LTFRB_PUJ2305|LTFRB_PUJ2133|LTFRB_PUJ1827|LTFRB_PUJ2458,Binan Bicutan(Taguig) via Sucat SSH|Binan Bicutan(Taguig) via Sucat SSH|ALABANG - CALAMBA via EXPRESSWAY|ALABANG - BALIBAGO|Alabang Binan via National Road,text_fallback
Carmona,8,49.77,-4305.4,11715.4,LTFRB_PUJ1022|LTFRB_PUJ1021|LTFRB_PUJ1019|LTFRB_PUJ1020|LTFRB_PUJ1017,"Alabang - GMA via South Expressway, Carmona Exit|Alabang - GMA via South Expressway, Carmona Exit|Alabang - GMA via Carmona National Rd.|Alabang - GMA via Carmona National Rd.|Alabang - Carmona",text_fallback
General Mariano Alvarez,2,63.32,-1854.5,5046.3,LTFRB_PUJ1022|LTFRB_PUJ1021,"Alabang - GMA via South Expressway, Carmona Exit|Alabang - GMA via South Expressway, Carmona Exit",text_fallback
