route_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_model_version,ml_model_meaningful_vs_baseline,daily_vkt,service_intensity_source,service_intensity_claim_status,ml_service_intensity_used,electrified_vkt_low,diesel_liters_avoided_low,electricity_kwh_day_low,baseline_co2e_kg_day_low,grid_co2e_kg_day_low,net_co2e_avoided_kg_day_low,net_co2e_avoided_t_year_low,electrified_vkt_base,diesel_liters_avoided_base,electricity_kwh_day_base,baseline_co2e_kg_day_base,grid_co2e_kg_day_base,net_co2e_avoided_kg_day_base,net_co2e_avoided_t_year_base,electrified_vkt_high,diesel_liters_avoided_high,electricity_kwh_day_high,baseline_co2e_kg_day_high,grid_co2e_kg_day_high,net_co2e_avoided_kg_day_high,net_co2e_avoided_t_year_high,climate_impact_score,climate_assumption_set,impact_is_scenario_not_measurement,climate_claim_status,climate_source_ids,grid_kgco2e_per_kwh_current,grid_kgco2e_per_kwh_low,grid_kgco2e_per_kwh_base,grid_kgco2e_per_kwh_high,operating_days_per_year,electrification_share_low,electrification_share_base,electrification_share_high
LTFRB_PUJ1001,5175.48,5221.441,service-v1-266e0b1d,True,5175.48,historic_gtfs_service_activity_proxy,DERIVED,False,1552.644,258.774,1811.418,693.514,1300.779,-607.265,-182.179,2587.74,517.548,2156.45,1387.029,1186.048,200.981,60.294,3622.836,905.709,2213.955,2427.3,774.884,1652.416,495.725,15.04,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1002,4977.599999999999,4878.116,service-v1-266e0b1d,True,4977.599999999999,historic_gtfs_service_activity_proxy,DERIVED,False,1493.28,248.88,1742.16,666.998,1251.045,-584.047,-175.214,2488.8,497.76,2074.0,1333.997,1140.7,193.297,57.989,3484.32,871.08,2129.307,2334.494,745.257,1589.237,476.771,14.41,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1003,2843.76,2920.164,service-v1-266e0b1d,True,2843.76,historic_gtfs_service_activity_proxy,DERIVED,False,853.128,142.188,995.316,381.064,714.736,-333.673,-100.102,1421.88,284.376,1184.9,762.128,651.695,110.433,33.13,1990.632,497.658,1216.497,1333.723,425.774,907.949,272.385,7.69,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1004,2596.92,2607.72,service-v1-266e0b1d,True,2596.92,historic_gtfs_service_activity_proxy,DERIVED,False,779.076,129.846,908.922,347.987,652.697,-304.71,-91.413,1298.46,259.692,1082.05,695.975,595.128,100.847,30.254,1817.844,454.461,1110.905,1217.955,388.817,829.139,248.742,6.92,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1005,3299.7,3304.612,service-v1-266e0b1d,True,3299.7,historic_gtfs_service_activity_proxy,DERIVED,False,989.91,164.985,1154.895,442.16,829.33,-387.17,-116.151,1649.85,329.97,1374.875,884.32,756.181,128.138,38.442,2309.79,577.447,1411.538,1547.559,494.038,1053.521,316.056,9.13,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1006,3619.98,3614.993,service-v1-266e0b1d,True,3619.98,historic_gtfs_service_activity_proxy,DERIVED,False,1085.994,180.999,1266.993,485.077,909.828,-424.75,-127.425,1809.99,361.998,1508.325,970.155,829.579,140.576,42.173,2533.986,633.496,1548.547,1697.771,541.991,1155.779,346.734,10.14,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1007,2289.9,2308.971,service-v1-266e0b1d,True,2289.9,historic_gtfs_service_activity_proxy,DERIVED,False,686.97,114.495,801.465,306.847,575.532,-268.685,-80.606,1144.95,228.99,954.125,613.693,524.769,88.924,26.677,1602.93,400.732,979.568,1073.963,342.849,731.114,219.334,5.95,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1008,2297.04,2187.523,service-v1-266e0b1d,True,2297.04,historic_gtfs_service_activity_proxy,DERIVED,False,689.112,114.852,803.964,307.803,577.327,-269.523,-80.857,1148.52,229.704,957.1,615.607,526.405,89.202,26.761,1607.928,401.982,982.623,1077.312,343.918,733.394,220.018,5.97,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1009,1200.54,1198.093,service-v1-266e0b1d,True,1200.54,historic_gtfs_service_activity_proxy,DERIVED,False,360.162,60.027,420.189,160.872,301.738,-140.865,-42.26,600.27,120.054,500.225,321.745,275.124,46.621,13.986,840.378,210.094,513.564,563.053,179.748,383.306,114.992,2.52,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1010,1200.54,1198.093,service-v1-266e0b1d,True,1200.54,historic_gtfs_service_activity_proxy,DERIVED,False,360.162,60.027,420.189,160.872,301.738,-140.865,-42.26,600.27,120.054,500.225,321.745,275.124,46.621,13.986,840.378,210.094,513.564,563.053,179.748,383.306,114.992,2.52,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1011,2213.4,2256.577,service-v1-266e0b1d,True,2213.4,historic_gtfs_service_activity_proxy,DERIVED,False,664.02,110.67,774.69,296.596,556.305,-259.709,-77.913,1106.7,221.34,922.25,593.191,507.238,85.954,25.786,1549.38,387.345,946.843,1038.085,331.395,706.689,212.007,5.71,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1012,2397.0,2426.787,service-v1-266e0b1d,True,2397.0,historic_gtfs_service_activity_proxy,DERIVED,False,719.1,119.85,838.95,321.198,602.45,-281.252,-84.376,1198.5,239.7,998.75,642.396,549.312,93.083,27.925,1677.9,419.475,1025.383,1124.193,358.884,765.309,229.593,6.29,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1013,13834.26,13697.081,service-v1-266e0b1d,True,13834.26,historic_gtfs_service_activity_proxy,DERIVED,False,4150.278,691.713,4841.991,1853.791,3477.034,-1623.243,-486.973,6917.13,1383.426,5764.275,3707.582,3170.351,537.23,161.169,9683.982,2420.996,5917.989,6488.268,2071.296,4416.972,1325.092,42.3,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1014,13737.36,13714.052,service-v1-266e0b1d,True,13737.36,historic_gtfs_service_activity_proxy,DERIVED,False,4121.208,686.868,4808.076,1840.806,3452.679,-1611.873,-483.562,6868.68,1373.736,5723.9,3681.612,3148.145,533.467,160.04,9616.152,2404.038,5876.537,6442.822,2056.788,4386.034,1315.81,41.99,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1015,18836.34,19005.179,service-v1-266e0b1d,True,18836.34,historic_gtfs_service_activity_proxy,DERIVED,False,5650.902,941.817,6592.719,2524.07,4734.232,-2210.162,-663.049,9418.17,1883.634,7848.475,5048.139,4316.661,731.478,219.443,13185.438,3296.36,8057.768,8834.243,2820.219,6014.025,1804.207,58.04,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1016,19646.22,19505.388,service-v1-266e0b1d,True,19646.22,historic_gtfs_service_activity_proxy,DERIVED,False,5893.866,982.311,6876.177,2632.593,4937.783,-2305.189,-691.557,9823.11,1964.622,8185.925,5265.187,4502.259,762.928,228.878,13752.354,3438.088,8404.216,9214.077,2941.476,6272.601,1881.78,60.59,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1017,12414.42,12333.857,service-v1-266e0b1d,True,12414.42,historic_gtfs_service_activity_proxy,DERIVED,False,3724.326,620.721,4345.047,1663.532,3120.178,-1456.646,-436.994,6207.21,1241.442,5172.675,3327.065,2844.971,482.093,144.628,8690.094,2172.524,5310.613,5822.363,1858.715,3963.648,1189.095,37.83,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1018,12343.02,12320.862,service-v1-266e0b1d,True,12343.02,historic_gtfs_service_activity_proxy,DERIVED,False,3702.906,617.151,4320.057,1653.965,3102.233,-1448.268,-434.48,6171.51,1234.302,5142.925,3307.929,2828.609,479.321,143.796,8640.114,2160.028,5280.07,5788.876,1848.024,3940.852,1182.256,37.6,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1019,12327.72,12218.881,service-v1-266e0b1d,True,12327.72,historic_gtfs_service_activity_proxy,DERIVED,False,3698.316,616.386,4314.702,1651.914,3098.388,-1446.473,-433.942,6163.86,1232.772,5136.55,3303.829,2825.102,478.726,143.618,8629.404,2157.351,5273.525,5781.701,1845.734,3935.967,1180.79,37.55,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1020,11116.98,11145.799,service-v1-266e0b1d,True,11116.98,historic_gtfs_service_activity_proxy,DERIVED,False,3335.094,555.849,3890.943,1489.675,2794.086,-1304.411,-391.323,5558.49,1111.698,4632.075,2979.351,2547.641,431.709,129.513,7781.886,1945.471,4755.597,5213.864,1664.459,3549.405,1064.821,33.74,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1021,20522.4,20731.976,service-v1-266e0b1d,True,20522.4,historic_gtfs_service_activity_proxy,DERIVED,False,6156.72,1026.12,7182.84,2750.002,5157.997,-2407.996,-722.399,10261.2,2052.24,8551.0,5500.003,4703.05,796.953,239.086,14365.68,3591.42,8779.027,9625.006,3072.659,6552.346,1965.704,63.35,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
LTFRB_PUJ1022,32162.64,29559.373,service-v1-266e0b1d,True,32162.64,historic_gtfs_service_activity_proxy,DERIVED,False,9648.792,1608.132,11256.924,4309.794,8083.597,-3773.803,-1132.141,16081.32,3216.264,13401.1,8619.588,7370.605,1248.983,374.695,22513.848,5628.462,13758.463,15084.278,4815.462,10268.816,3080.645,100.0,climate-v1.0,True,SCENARIO,sakay_gtfs_master_historic|doe_luzon_generation_2024|route2zero_climate_scenario_v1,0.7181,0.7181,0.55,0.35,300,0.3,0.5,0.7
