agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_id,mode_context
LRTA,LRT 1,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,http://www.lrta.gov.ph/train_operating_schedules.php,fdff00,,ROUTE_880747,rail_or_other
LRTA,LRT 2,Recto - Santolan,Light rail line serving 11 stations between Recto and Santolan,2,http://www.lrta.gov.ph/train_operating_schedules.php,a520a1,,ROUTE_880801,rail_or_other
LTFRB,,Alabang (Starmall) Lagro,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Quirino Highway / La Mesa Road Intersection, Calcoocan City",3,,,,LTFRB_PUB1001,bus
LTFRB,,Alabang (Starmall) Lagro,"Quirino Highway / La Mesa Road Intersection, Calcoocan City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",3,,,,LTFRB_PUB1002,bus
LTFRB,,Alabang Fairview,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - SM Public Transport Terminal, Regalado Highway, Quezon City",3,,,,LTFRB_PUB1003,bus
LTFRB,,Alabang Fairview,"Robinsons Nova Market, Quirino Highway, Caloocan City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",3,,,,LTFRB_PUB1004,bus
LTFRB,,Alabang Lawton via Sucat,"Progreso 2, Makati City, Manila - Tejeron, Makati City, Manila",3,,,,LTFRB_PUB1005,bus
LTFRB,,Alabang Lawton via Zapote Coastal Rd,"Alabang-Zapote Road, Muntinlupa City, Manila - Taft Ave, Manila",3,,,,LTFRB_PUB1007,bus
LTFRB,,Alabang Lawton via Zapote Coastal Rd,"Taft Ave, Manila - Alabang-Zapote Road, Muntinlupa City, Manila",3,,,,LTFRB_PUB1008,bus
LTFRB,,Alabang Malabon (Letre) via EDSA,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",3,,FFFFFF,,LTFRB_PUB1009,bus
LTFRB,,Alabang Malabon (Letre) via EDSA,"Circimferential Road 4, Malabon City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",3,,FFFFFF,,LTFRB_PUB1010,bus
LTFRB,,Alabang Malanday,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - ET Pacific, MacArthur Highway, City of Meycauayan",3,,,,LTFRB_PUB1011,bus
LTFRB,,Alabang Malanday,"YU Laundry Shop, MacArthur Highway, City of Meycauayan - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,,,LTFRB_PUB1012,bus
LTFRB,,Ayala Dasmarinas (Cavite) via Coastal Rd,"Governor's Dv, Dasmariñas City, Manila - MRT-3 Ayala Station, Makati City, Manila",3,,,,LTFRB_PUB1013,bus
LTFRB,,Ayala Dasmarinas (Cavite) via Coastal Rd,"MRT-3 Ayala Station, Makati City, Manila - Emilio Aguinaldo Hwy, Lungsod ng Dasmariñas, Manila",3,,,,LTFRB_PUB1014,bus
LTFRB,,Ayala Grotto (SJDM) via Leveriza,"Senator Gil Puyat Ave, Makati City - Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte",3,,,,LTFRB_PUB1015,bus
LTFRB,,Ayala Grotto (SJDM) via Leveriza,"Sta. Maria - Tungkong Mangga Rd / Quirino Highway Intersection, City of San Jose del Monte - Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",3,,,,LTFRB_PUB1016,bus
LTFRB,,Ayala Malabon via EDSA,"MRT-3 Ayala Station, Makati City, Manila - Circimferential Road 4, Malabon City",3,,FFFFFF,,LTFRB_PUB1017,bus
LTFRB,,Ayala Malabon via EDSA,"Pagamutang Bayan Ng Malabon, Dagat- Dagatan Avenue, Caloocan City - MRT-3 Ayala Station, Makati City, Manila",3,,FFFFFF,,LTFRB_PUB1018,bus
LTFRB,,Ayala Monumento via EDSA,"MRT-3 Ayala Station, Makati City, Manila - Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City",3,,FFFFFF,,LTFRB_PUB1019,bus
LTFRB,,Ayala Monumento via EDSA,"Epifanio de los Santos Avenue / General Rosendo Simon Intersection , Caloocan City - MRT-3 Ayala Station, Makati City, Manila",3,,FFFFFF,,LTFRB_PUB1020,bus
LTFRB,,Ayala NAIA,"Natalia, Parañaque City, Manila - MRT-3 Ayala Station, Makati City, Manila",3,,,,LTFRB_PUB1021,bus
LTFRB,,Ayala NAIA,"MRT-3 Ayala Station, Makati City, Manila - NAIA Rd, Parañaque City, Manila",3,,,,LTFRB_PUB1022,bus
LTFRB,,Ayala Novaliches via EDSA Buendia,"MRT-3 Ayala Station, Makati City, Manila - Ramirez / Quirino Highway, Caloocan City",3,,FFFFFF,,LTFRB_PUB1023,bus
LTFRB,,Ayala Novaliches via EDSA Buendia,"Ramirez / Quirino Highway, Caloocan City - MRT-3 Ayala Station, Makati City, Manila",3,,FFFFFF,,LTFRB_PUB1024,bus
