route_id,corridor_cluster_id,corridor_type_label,cluster_distance,cluster_outlier_flag,typology_pca_x,typology_pca_y,clustering_model_version,typology_claim_status
LTFRB_PUJ1001,1,High-Stop-Density Core,1.226,False,-1.4295,0.6855,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1002,1,High-Stop-Density Core,0.9274,False,-1.3558,0.7809,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1003,1,High-Stop-Density Core,2.7156,False,-1.8446,0.8785,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1004,1,High-Stop-Density Core,2.7156,False,-1.8446,0.8785,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1005,1,High-Stop-Density Core,1.0742,False,-1.7989,0.2178,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1006,1,High-Stop-Density Core,1.147,False,-1.7449,0.1904,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1007,1,High-Stop-Density Core,1.1595,False,-2.0514,0.7851,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1008,1,High-Stop-Density Core,0.8784,False,-2.1759,0.3307,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1009,1,High-Stop-Density Core,2.4048,False,-2.4569,0.636,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1010,1,High-Stop-Density Core,2.4048,False,-2.4569,0.636,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1011,1,High-Stop-Density Core,2.3129,False,-2.0829,0.709,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1012,1,High-Stop-Density Core,1.7956,False,-1.9317,0.8622,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1013,0,Long Regional Connector,1.6888,False,1.229,-1.1941,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1014,0,Long Regional Connector,1.4124,False,1.3263,-0.8588,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1015,2,Dense Urban Trunk,0.7661,False,2.7902,-0.4626,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1016,2,Dense Urban Trunk,1.1536,False,2.7984,-0.4714,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1017,0,Long Regional Connector,2.078,False,0.6799,-1.1006,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1018,0,Long Regional Connector,2.0668,False,0.6733,-1.1,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1019,0,Long Regional Connector,1.0867,False,0.915,-0.6295,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1020,0,Long Regional Connector,1.0769,False,0.771,-0.5665,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1021,2,Dense Urban Trunk,2.2713,False,2.6286,-1.3839,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1022,2,Dense Urban Trunk,3.2538,True,4.4715,-1.5424,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1023,0,Long Regional Connector,1.6102,False,0.4656,0.2927,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1024,0,Long Regional Connector,1.2379,False,1.2604,0.5825,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1025,1,High-Stop-Density Core,1.225,False,-0.8767,-0.4905,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1026,1,High-Stop-Density Core,1.225,False,-0.8767,-0.4905,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1028,1,High-Stop-Density Core,1.1431,False,-1.1429,-0.6419,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1029,0,Long Regional Connector,1.7023,False,-0.387,0.1841,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1030,0,Long Regional Connector,1.5901,False,-0.3691,0.1728,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1031,0,Long Regional Connector,1.6467,False,-0.3102,0.1687,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1033,0,Long Regional Connector,1.5992,False,0.5742,0.4118,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1034,0,Long Regional Connector,1.2695,False,1.2115,0.6007,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1035,3,Local Feeder,2.0266,False,-1.8536,-1.6542,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1036,3,Local Feeder,2.1629,False,-1.4154,-1.4507,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1037,3,Local Feeder,2.1213,False,-1.6969,-1.929,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1038,3,Local Feeder,2.1213,False,-1.6969,-1.929,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1040,0,Long Regional Connector,0.8442,False,0.7948,-0.2777,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1041,2,Dense Urban Trunk,1.2467,False,2.0069,-0.1151,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1042,2,Dense Urban Trunk,1.2953,False,2.1011,-0.1481,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1043,2,Dense Urban Trunk,2.1094,False,4.3284,0.2762,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1044,2,Dense Urban Trunk,1.972,False,4.1819,0.2269,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1045,2,Dense Urban Trunk,0.93,False,3.2472,-0.5039,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1046,2,Dense Urban Trunk,1.0104,False,2.6299,-0.9116,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1047,2,Dense Urban Trunk,1.661,False,1.959,-0.7456,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1048,2,Dense Urban Trunk,1.6925,False,1.9199,-0.7373,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1049,2,Dense Urban Trunk,0.9038,False,3.4176,0.1795,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1050,2,Dense Urban Trunk,0.8854,False,3.35,0.1957,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1051,0,Long Regional Connector,2.2692,True,1.0347,-1.519,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1053,2,Dense Urban Trunk,0.8374,False,2.4213,0.0253,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1054,2,Dense Urban Trunk,0.7777,False,2.5237,-0.0012,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1055,0,Long Regional Connector,1.1247,False,1.6691,0.8375,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1056,0,Long Regional Connector,0.9509,False,1.4686,0.9433,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1057,1,High-Stop-Density Core,0.5894,False,-1.3937,0.6819,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1058,1,High-Stop-Density Core,0.5894,False,-1.3937,0.6819,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1059,1,High-Stop-Density Core,1.4092,False,-0.3668,0.3826,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1060,1,High-Stop-Density Core,0.9679,False,-0.782,0.1276,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1061,1,High-Stop-Density Core,1.7291,False,-2.4403,-0.5585,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1062,1,High-Stop-Density Core,2.2935,False,-2.2861,-1.0268,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1063,3,Local Feeder,1.2283,False,-2.2019,-1.9474,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1064,3,Local Feeder,1.2281,False,-2.2021,-1.9475,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1065,0,Long Regional Connector,0.7344,False,1.0748,-0.1352,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1066,0,Long Regional Connector,0.6887,False,1.2107,0.0612,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1067,3,Local Feeder,1.0801,False,-1.9621,-1.9841,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1068,3,Local Feeder,1.1019,False,-1.9434,-1.9139,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1069,3,Local Feeder,1.613,False,-2.1359,-2.2974,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1070,3,Local Feeder,2.1001,False,-1.5882,-1.4457,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1071,0,Long Regional Connector,0.7679,False,1.2473,0.8071,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1072,0,Long Regional Connector,0.7916,False,1.3056,0.7707,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1073,0,Long Regional Connector,0.489,False,0.9224,0.3537,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1074,0,Long Regional Connector,0.4754,False,0.6937,0.2193,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1075,0,Long Regional Connector,0.9287,False,1.3656,0.7667,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1076,0,Long Regional Connector,1.0234,False,1.4495,0.8591,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1077,0,Long Regional Connector,0.4375,False,0.7184,0.5265,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1078,0,Long Regional Connector,0.387,False,0.848,0.4761,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1079,0,Long Regional Connector,0.4012,False,0.9949,0.336,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1080,0,Long Regional Connector,0.4476,False,0.9376,0.2281,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1081,0,Long Regional Connector,1.1358,False,-0.0656,0.1133,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1083,0,Long Regional Connector,1.1609,False,1.6737,-0.1887,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1084,0,Long Regional Connector,1.1735,False,1.5472,-0.2287,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1085,0,Long Regional Connector,0.3967,False,0.4355,0.5287,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1086,0,Long Regional Connector,0.3507,False,0.4723,0.4824,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1087,0,Long Regional Connector,0.9789,False,0.1446,-0.2219,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1088,0,Long Regional Connector,0.8939,False,0.3896,-0.3482,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1089,0,Long Regional Connector,0.4378,False,1.0781,0.5983,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1090,0,Long Regional Connector,0.4563,False,1.0828,0.6069,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1091,0,Long Regional Connector,0.785,False,1.2523,0.7815,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1094,0,Long Regional Connector,0.545,False,1.0545,0.3938,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1095,0,Long Regional Connector,1.6767,False,1.247,-1.1585,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1096,0,Long Regional Connector,1.6767,False,1.247,-1.1585,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1097,0,Long Regional Connector,1.6464,False,1.1526,-1.1365,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1098,0,Long Regional Connector,1.4903,False,1.3984,-0.904,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1099,0,Long Regional Connector,1.4763,False,-0.0948,-0.339,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1100,0,Long Regional Connector,0.8215,False,0.1808,-0.0843,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1101,2,Dense Urban Trunk,0.8953,False,2.9747,-0.1994,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1102,2,Dense Urban Trunk,0.7648,False,3.0243,-0.2245,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1103,1,High-Stop-Density Core,1.3343,False,-2.214,0.8113,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1104,1,High-Stop-Density Core,1.1538,False,-2.261,0.8285,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1105,1,High-Stop-Density Core,1.4328,False,-2.3929,0.8018,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1106,1,High-Stop-Density Core,1.3561,False,-2.3655,0.7851,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1107,3,Local Feeder,2.3579,False,0.7474,-3.6777,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1108,3,Local Feeder,2.5137,False,0.9502,-3.7081,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1109,0,Long Regional Connector,1.3016,False,1.6432,0.7461,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1110,0,Long Regional Connector,1.2482,False,1.6172,0.755,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1111,1,High-Stop-Density Core,0.6157,False,-1.2745,0.6262,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1112,1,High-Stop-Density Core,0.7597,False,-1.1064,0.6543,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1113,3,Local Feeder,1.5306,False,-2.4785,-1.917,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1114,3,Local Feeder,2.8567,False,-2.2534,-1.2045,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1116,1,High-Stop-Density Core,1.631,False,-0.2235,-0.0078,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1117,1,High-Stop-Density Core,1.2471,False,-0.5005,0.5872,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1118,0,Long Regional Connector,1.514,False,-0.1389,0.3127,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1121,1,High-Stop-Density Core,0.6461,False,-1.9737,0.7322,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1122,1,High-Stop-Density Core,0.5114,False,-1.9072,0.702,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1123,1,High-Stop-Density Core,0.8335,False,-2.0447,0.9124,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1124,1,High-Stop-Density Core,0.9226,False,-2.1783,0.8679,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1125,1,High-Stop-Density Core,0.6708,False,-1.4521,0.9231,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1128,1,High-Stop-Density Core,0.565,False,-1.5973,0.8025,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1129,1,High-Stop-Density Core,23.2802,True,-3.4205,-1.2463,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1130,1,High-Stop-Density Core,0.9352,False,-1.4019,0.9516,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1131,1,High-Stop-Density Core,0.9352,False,-1.4019,0.9516,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1132,2,Dense Urban Trunk,1.6298,False,1.819,0.5304,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1133,2,Dense Urban Trunk,1.6298,False,1.819,0.5304,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1134,1,High-Stop-Density Core,2.7121,False,-1.6376,0.2636,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1135,1,High-Stop-Density Core,2.7121,False,-1.6376,0.2636,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1136,2,Dense Urban Trunk,1.6166,False,2.5235,0.6433,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1137,2,Dense Urban Trunk,1.6262,False,2.0533,0.7968,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1138,1,High-Stop-Density Core,1.3363,False,-2.185,0.674,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1139,1,High-Stop-Density Core,1.9396,False,-2.1728,0.6213,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1140,0,Long Regional Connector,1.4537,False,0.8772,0.8896,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1141,0,Long Regional Connector,1.4582,False,0.5456,0.8779,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1142,1,High-Stop-Density Core,2.5877,False,-1.6205,0.5968,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1143,1,High-Stop-Density Core,2.5877,False,-1.6205,0.5968,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1144,1,High-Stop-Density Core,1.7499,False,-1.1387,1.5406,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1145,1,High-Stop-Density Core,2.2912,False,-0.9097,1.7101,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1146,2,Dense Urban Trunk,0.5878,False,3.3274,-0.6289,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1147,2,Dense Urban Trunk,0.6661,False,3.4498,-0.6498,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1148,3,Local Feeder,1.4276,False,-2.057,-2.1775,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1149,3,Local Feeder,1.4299,False,-2.0566,-2.1775,typology-v1-f9da2ebe,ML_ESTIMATED
LTFRB_PUJ1150,0,Long Regional Connector,0.9389,False,0.9558,0.6791,typology-v1-f9da2ebe,ML_ESTIMATED
