route_id,route_long_name,length_km,trips_per_day_estimate,daily_vehicle_km_proxy,emissions_potential_score,emissions_source,emissions_confidence
LTFRB_PUJ1001,HULO - P. VICTORINO/KALENTONG,5.074,1020.0,5175.48,15.04,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1002,HULO - P. VICTORINO/KALENTONG,4.88,1020.0,4977.599999999999,14.41,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1003,A. Bonifacio - A. Mabini via 10th Avenue,2.546,1020.0,2596.9199999999996,6.92,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1004,A. Bonifacio - A. Mabini via 10th Avenue,2.546,1020.0,2596.9199999999996,6.92,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1005,A. Bonifacio - E. Rodriguez via D. Tuazon,3.235,1020.0,3299.7,9.13,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1006,A. Bonifacio - E. Rodriguez via D. Tuazon,3.549,1020.0,3619.98,10.14,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1007,A. Luna - Libertad,2.245,1020.0,2289.9,5.95,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1008,A. Luna - Libertad,2.252,1020.0,2297.04,5.97,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1009,Mayhaligue - Plaza dela Barca via J.A.,1.177,1020.0,1200.54,2.52,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1010,Mayhaligue - Plaza dela Barca via J.A.,1.177,1020.0,1200.54,2.52,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1011,A. Rivera - Raon via Tomas Mapua,2.17,1020.0,2213.4,5.71,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1012,A. Rivera - Raon via Tomas Mapua,2.35,1020.0,2397.0,6.29,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1013,Alabang - Baclaran via Ninoy Aquino,13.563,1020.0,13834.26,42.3,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1014,Alabang - Baclaran via Ninoy Aquino,13.468,1020.0,13737.36,41.99,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1015,"Alabang - Baclaran via San Dionisio, Zapote",18.467,1020.0,18836.34,58.04,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1016,"Alabang - Baclaran via San Dionisio, Zapote",19.261,1020.0,19646.219999999998,60.59,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1017,Alabang - Carmona,12.171,1020.0,12414.42,37.83,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1018,Alabang - Carmona,12.101,1020.0,12343.02,37.6,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1019,Alabang - GMA via Carmona National Rd.,12.086,1020.0,12327.720000000001,37.55,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1020,Alabang - GMA via Carmona National Rd.,10.899,1020.0,11116.98,33.74,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
LTFRB_PUJ1021,"Alabang - GMA via South Expressway, Carmona Exit",20.12,1020.0,20522.4,63.35,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions
