route_id,equity_overlap_pct,corridor_population_proxy,equity_score,equity_source,equity_confidence,manually_digitized,high_density_cutoff_people_per_cell,catchment_buffer_m
LTFRB_PUJ1001,94.077,295279.4,94.08,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1002,94.832,338414.3,94.83,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1003,100.0,295272.3,100.0,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1004,100.0,295272.3,100.0,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1005,87.301,207084.3,87.3,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1006,87.301,207084.3,87.3,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1007,96.254,225215.9,96.25,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1008,89.393,154616.3,89.39,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1009,96.054,197760.5,96.05,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1010,96.054,197760.5,96.05,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1011,96.939,254972.3,96.94,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1012,97.534,316502.0,97.53,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1013,53.89,443017.2,53.89,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1014,60.13,487318.3,60.13,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1015,67.038,656903.1,67.04,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1016,66.771,651064.3,66.77,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1017,57.582,329572.4,57.58,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1018,57.582,329572.4,57.58,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1019,65.871,432663.0,65.87,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1020,67.708,420923.7,67.71,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1021,52.863,469562.0,52.86,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1022,53.892,562159.0,53.89,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1023,87.562,356707.2,87.56,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1024,90.455,520228.1,90.46,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1025,70.885,258690.6,70.89,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1026,70.885,258690.6,70.89,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1028,70.969,185492.9,70.97,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1029,81.351,364209.3,81.35,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1030,81.351,364209.3,81.35,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1031,81.351,364209.3,81.35,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1033,88.78,395423.6,88.78,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1034,86.281,409163.5,86.28,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1035,46.821,69826.5,46.82,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1036,52.931,109755.0,52.93,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1037,40.401,80921.9,40.4,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1038,40.401,80921.9,40.4,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1040,73.558,427609.6,73.56,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1041,71.106,672862.0,71.11,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1042,70.067,682840.4,70.07,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1043,79.944,921238.4,79.94,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1044,79.396,896729.0,79.4,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1045,72.124,598458.4,72.12,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1046,65.378,481851.8,65.38,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1047,67.164,488182.2,67.16,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1048,67.164,488182.2,67.16,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1049,79.643,776493.9,79.64,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1050,79.643,776493.9,79.64,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1051,55.015,284001.6,55.01,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1053,77.497,653305.0,77.5,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1054,77.497,653305.0,77.5,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1055,91.134,686197.0,91.13,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1056,92.828,673680.2,92.83,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1057,94.089,312038.0,94.09,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1058,94.089,312038.0,94.09,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1059,87.741,402300.0,87.74,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1060,84.821,281385.3,84.82,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1061,72.085,57437.2,72.09,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1062,63.075,65642.0,63.07,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1063,41.574,48766.7,41.57,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1064,41.574,48766.7,41.57,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1065,73.896,515714.7,73.9,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1066,76.381,569994.1,76.38,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1067,40.471,103598.6,40.47,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1068,42.614,98388.9,42.61,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1069,34.418,70202.8,34.42,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1070,54.045,145140.9,54.05,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1071,89.69,650759.7,89.69,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1072,88.542,659196.3,88.54,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1073,85.887,501252.0,85.89,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1074,84.079,444332.7,84.08,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1075,89.695,651089.0,89.69,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1076,90.258,688718.0,90.26,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
LTFRB_PUJ1077,88.184,504304.8,88.18,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300
