route_id,validation_status,active_status,freshness_score,directness_score,spatial_specificity_score,completeness_score,external_validation_score,model_reliability_score,climate_evidence_confidence,equity_evidence_confidence,charging_evidence_confidence,operator_evidence_confidence,geometry_evidence_confidence,overall_evidence_confidence,evidence_grade,highest_value_missing_evidence,evidence_limitations,evidence_confidence_method,evidence_claim_status
LTFRB_PUJ1001,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1002,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1003,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1004,historic_only,uncertain,10,25.75,73.10000000000001,80.0,10,75.0,35.0,25.0,38.0,5.0,92.0,43.02,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1005,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1006,historic_only,uncertain,10,25.75,44.5,80.0,10,75.0,35.0,25.0,38.0,5.0,48.0,37.3,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1007,historic_only,uncertain,10,25.75,41.9,80.0,10,75.0,35.0,25.0,38.0,5.0,44.0,36.78,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1008,historic_only,uncertain,10,25.75,41.9,80.0,10,75.0,35.0,25.0,38.0,5.0,44.0,36.78,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1009,historic_only,uncertain,10,25.75,41.9,80.0,10,75.0,35.0,25.0,38.0,5.0,44.0,36.78,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1010,historic_only,uncertain,10,25.75,41.9,80.0,10,75.0,35.0,25.0,38.0,5.0,44.0,36.78,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1011,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1012,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1013,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
LTFRB_PUJ1014,historic_only,uncertain,10,25.75,49.699999999999996,80.0,10,75.0,35.0,25.0,38.0,5.0,56.0,38.34,C,operator readiness evidence,Historic service baseline; population exposure proxy; utility capacity unverified; operator neutral prior.,evidence-v1.0_deterministic_rules,DERIVED
