route_id,route_long_name,corridor_type_label,phase1_selected,daily_vkt,fleet_size_proxy,charger_count_proxy,vehicle_capex_proxy_php,charger_capex_proxy_php,total_capex_proxy_php,fleet_proxy_claim_status,vehicle_cost_claim_status,charger_cost_claim_status,financing_claim_status,feasibility_source_ids,feasibility_method_version
LTFRB_PUJ1353,Francisco Homes - Cubao,Dense Urban Trunk,True,31585.32,264,14,660000000.0,7000000.0,667000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1241,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.,Dense Urban Trunk,True,31361.94,262,14,655000000.0,7000000.0,662000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2083,BACLARAN - DASMARINAS B BAYAN,Dense Urban Trunk,True,31128.36,260,13,650000000.0,6500000.0,656500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1352,Francisco Homes - Cubao,Dense Urban Trunk,False,28885.38,241,13,602500000.0,6500000.0,609000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1240,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.,Dense Urban Trunk,False,30203.22,252,13,630000000.0,6500000.0,636500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1156,Binangonan - Pasig (TP),Dense Urban Trunk,True,31405.8,262,14,655000000.0,7000000.0,662000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ2084,BACLARAN - DASMARINAS B BAYAN,Dense Urban Trunk,False,29420.88,246,13,615000000.0,6500000.0,621500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1157,Binangonan - Pasig (TP),Dense Urban Trunk,False,30118.56,251,13,627500000.0,6500000.0,634000000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1638,"EDSA/Shaw Central - Morong via Antipolo, Theresa",Dense Urban Trunk,True,26962.68,225,12,562500000.0,6000000.0,568500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
LTFRB_PUJ1350,Francisco Homes - Philcoa,Dense Urban Trunk,True,27916.38,233,12,582500000.0,6000000.0,588500000.0,PROXY,PROXY,PROXY,MISSING,doe_energy_investment_kit_2024|pna_ejeepney_trial_2023,feasibility-v1.0
