route_id,geometry_source,endpoint_distance_km,geometry_detour_ratio,duplicate_stop_fraction,max_consecutive_stop_gap_km,geometry_valid,self_intersection_flag,geometry_reliability_score,geometry_reliability_grade,geometry_reliability_reasons,geometry_validation_required,geometry_claim_status
LTFRB_PUJ1001,stop_sequence_approx,2.864,1.772,0.0,0.53,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1002,stop_sequence_approx,2.864,1.704,0.0,0.433,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1003,stop_sequence_approx,2.379,1.07,0.0,0.323,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1004,shape,2.379,1.07,0.0,0.323,True,False,92.0,A,GTFS shape source,False,DERIVED
LTFRB_PUJ1005,stop_sequence_approx,2.896,1.117,0.0,0.351,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1006,stop_sequence_approx,2.896,1.225,0.0,0.266,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1007,stop_sequence_approx,2.094,1.072,0.0,0.434,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1008,stop_sequence_approx,2.094,1.075,0.0,0.434,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1009,stop_sequence_approx,1.131,1.04,0.0,0.246,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1010,stop_sequence_approx,1.131,1.04,0.0,0.246,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1011,stop_sequence_approx,1.745,1.243,0.0,0.338,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1012,stop_sequence_approx,1.745,1.347,0.0,0.36,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1013,stop_sequence_approx,10.194,1.331,0.0,0.659,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1014,stop_sequence_approx,10.194,1.321,0.0,0.471,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1015,stop_sequence_approx,13.268,1.392,0.0,0.512,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1016,stop_sequence_approx,13.268,1.452,0.0,0.52,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1017,stop_sequence_approx,10.863,1.12,0.0,0.677,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1018,stop_sequence_approx,10.863,1.114,0.0,0.677,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1019,stop_sequence_approx,10.001,1.208,0.0,0.719,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1020,stop_sequence_approx,10.001,1.09,0.0,0.392,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1021,stop_sequence_approx,15.097,1.333,0.0,0.625,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1022,stop_sequence_approx,15.09,2.09,0.1758,0.625,True,True,42.0,D,ordered-stop planning approximation | duplicate coordinates | self-intersection detected,True,DERIVED
LTFRB_PUJ1023,stop_sequence_approx,10.273,1.104,0.0,0.686,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1024,stop_sequence_approx,10.273,1.399,0.0952,0.686,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1025,stop_sequence_approx,5.55,1.087,0.0,0.392,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1026,stop_sequence_approx,5.55,1.087,0.0,0.392,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1028,stop_sequence_approx,4.485,1.335,0.0,0.333,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1029,stop_sequence_approx,6.624,1.222,0.0,0.631,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1030,stop_sequence_approx,6.624,1.228,0.0,0.631,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1031,stop_sequence_approx,6.867,1.227,0.0,0.631,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1033,stop_sequence_approx,10.423,1.107,0.0,0.741,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1034,stop_sequence_approx,10.423,1.344,0.075,0.686,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1035,stop_sequence_approx,3.609,1.011,0.0,0.499,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1036,stop_sequence_approx,3.609,1.866,0.0556,0.499,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1037,stop_sequence_approx,3.83,1.164,0.0,1.009,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1038,stop_sequence_approx,3.83,1.164,0.0,1.009,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1040,stop_sequence_approx,10.267,1.101,0.0,0.551,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1041,stop_sequence_approx,11.089,1.337,0.0,0.512,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1042,stop_sequence_approx,11.089,1.406,0.0,0.518,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1043,stop_sequence_approx,13.107,1.696,0.0,0.647,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1044,stop_sequence_approx,13.107,1.645,0.0,0.44,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1045,stop_sequence_approx,13.107,1.617,0.0,0.719,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1046,stop_sequence_approx,13.107,1.452,0.0,0.44,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1047,stop_sequence_approx,12.225,1.15,0.0,0.541,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1048,stop_sequence_approx,12.225,1.132,0.0,0.541,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1049,stop_sequence_approx,15.523,1.134,0.0,0.647,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1050,stop_sequence_approx,15.523,1.114,0.0,0.647,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1051,stop_sequence_approx,9.839,1.353,0.0,0.358,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1053,stop_sequence_approx,11.604,1.484,0.0,0.48,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1054,stop_sequence_approx,11.604,1.529,0.0,0.531,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1055,stop_sequence_approx,10.421,1.273,0.0,0.448,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1056,stop_sequence_approx,10.421,1.203,0.0,0.495,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1057,stop_sequence_approx,3.318,1.288,0.0,0.405,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1058,stop_sequence_approx,3.318,1.288,0.0,0.405,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1059,stop_sequence_approx,4.876,1.648,0.0,0.453,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1060,stop_sequence_approx,4.876,1.498,0.0,0.558,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1061,stop_sequence_approx,1.459,1.482,0.0,0.575,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1062,stop_sequence_approx,1.459,2.292,0.0,0.719,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1063,stop_sequence_approx,2.253,1.15,0.0,0.596,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1064,stop_sequence_approx,2.253,1.15,0.0,0.392,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED
LTFRB_PUJ1065,stop_sequence_approx,10.507,1.106,0.0,0.551,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1066,stop_sequence_approx,10.507,1.124,0.0,0.551,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1067,stop_sequence_approx,2.412,1.368,0.0,0.346,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1068,stop_sequence_approx,2.412,1.463,0.0,0.374,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1069,stop_sequence_approx,2.328,1.103,0.0,0.301,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1070,stop_sequence_approx,2.328,2.468,0.0,0.539,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1071,stop_sequence_approx,10.346,1.104,0.0,0.583,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1072,stop_sequence_approx,10.346,1.143,0.0,0.583,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1073,stop_sequence_approx,9.623,1.185,0.0222,0.472,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED
LTFRB_PUJ1074,stop_sequence_approx,9.623,1.142,0.0,0.434,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
LTFRB_PUJ1075,stop_sequence_approx,10.681,1.081,0.0,0.586,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED
