route_id,normalized_corridor_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_service_intensity_residual,ml_service_intensity_anomaly_flag,ml_prediction_source,ml_prediction_claim_status,ml_model_version,ml_model_meaningful_vs_baseline,ml_service_intensity_used
LTFRB_PUJ1001,hulo__p-victorino-kalentong,5175.48,5221.441,-45.96100000000024,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1002,hulo__p-victorino-kalentong,4977.599999999999,4878.116,99.48399999999947,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1003,a-bonifacio__a-mabini,2843.76,2920.164,-76.404,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1004,a-bonifacio__a-mabini,2596.92,2607.72,-10.799999999999727,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1005,a-bonifacio__e-rodriguez,3299.7,3304.612,-4.912000000000262,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1006,a-bonifacio__e-rodriguez,3619.98,3614.993,4.98700000000008,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1007,a-luna__libertad,2289.9,2308.971,-19.070999999999913,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1008,a-luna__libertad,2297.04,2187.523,109.51699999999983,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1009,mayhaligue__plaza-dela-barca,1200.54,1198.093,2.446999999999889,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1010,mayhaligue__plaza-dela-barca,1200.54,1198.093,2.446999999999889,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1011,a-rivera__raon,2213.4,2256.577,-43.177000000000135,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1012,a-rivera__raon,2397.0,2426.787,-29.786999999999807,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1013,alabang__baclaran,13834.26,13697.081,137.1790000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1014,alabang__baclaran,13737.36,13714.052,23.308000000000902,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1015,alabang__baclaran,18836.34,19005.179,-168.83899999999994,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1016,alabang__baclaran,19646.22,19505.388,140.83200000000215,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1017,alabang__carmona,12414.42,12333.857,80.5630000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1018,alabang__carmona,12343.02,12320.862,22.158000000001266,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1019,alabang__gma,12327.72,12218.881,108.83899999999994,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1020,alabang__gma,11116.98,11145.799,-28.819000000001324,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1021,alabang__gma,20522.4,20731.976,-209.5759999999973,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1022,alabang__gma,32162.64,29559.373,2603.267,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1023,alabang__fti,11571.9,11560.115,11.784999999999854,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1024,alabang__fti,14656.38,14383.308,273.0719999999983,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1025,alabang__muntinlupa,6153.660000000001,6223.109,-69.44899999999961,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1026,alabang__muntinlupa,6153.660000000001,6223.109,-69.44899999999961,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1028,alabang__muntinlupa-bilibid-prison,6105.719999999999,6300.928,-195.20800000000054,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1029,alabang__pasay-rtda,8257.92,8163.544,94.3760000000002,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1030,alabang__pasay-rtda,8296.68,8376.091,-79.41100000000006,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1031,alabang__pasay-rtda,8596.560000000001,8820.651,-224.09099999999853,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
