route_id,operator_name,evidence_date,operator_policy_prior,operator_observed_score,operator_effective_score,operator_evidence_completeness,operator_evidence_confidence,operator_readiness_placeholder,operator_claim_status,operator_source_ids,operator_method_version
LTFRB_PUJ1001,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1002,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1003,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1004,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1005,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1006,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1007,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1008,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1009,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1010,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1011,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1012,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1013,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1014,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1015,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1016,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1017,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1018,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1019,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1020,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1021,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1022,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1023,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1024,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1025,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1026,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1028,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1029,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1030,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1031,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1033,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1034,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1035,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1036,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1037,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1038,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1040,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1041,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1042,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1043,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1044,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1045,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1046,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1047,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1048,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1049,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
LTFRB_PUJ1050,,,50.0,,50.0,0.0,5.0,True,NEUTRAL_PRIOR,route2zero_operator_prior_v1,operator-v2.0
