route_id,portfolio_scenario_id,phase1_selected,simple_top_n_selected,portfolio_exclusion_reason
LTFRB_PUJ1353,prt-fd6de9d793,True,True,selected
LTFRB_PUJ1241,prt-fd6de9d793,True,True,selected
LTFRB_PUJ2083,prt-fd6de9d793,True,True,selected
LTFRB_PUJ1352,prt-fd6de9d793,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1240,prt-fd6de9d793,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1156,prt-fd6de9d793,True,True,selected
LTFRB_PUJ2084,prt-fd6de9d793,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1157,prt-fd6de9d793,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1638,prt-fd6de9d793,True,False,selected
LTFRB_PUJ1350,prt-fd6de9d793,True,False,selected
LTFRB_PUJ1153,prt-fd6de9d793,True,False,selected
LTFRB_PUJ1639,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1152,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2120,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2101,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2102,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1405,prt-fd6de9d793,True,False,selected
LTFRB_PUJ2119,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1648,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1649,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1022,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1937,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1043,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1680,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1936,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1605,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1351,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1640,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1643,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1044,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1944,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1604,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1636,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1637,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1897,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2113,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2407,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1401,prt-fd6de9d793,False,False,"not selected after evidence, equity and city-coverage constraints"
