agency_id,route_long_name,representative_route_id,route_ids,direction_count,route_desc,bidirectional_pair_flag
FORT,Fort Central,FORT_CENT,FORT_CENT,1,,False
FORT,Fort West,FORT_WEST,FORT_WEST,1,,False
LRTA,Baclaran - Roosevelt,ROUTE_880747,ROUTE_880747,1,Urban railway line serving 20 stations between Balaran and Roosevelt,False
LRTA,Recto - Santolan,ROUTE_880801,ROUTE_880801,1,Light rail line serving 11 stations between Recto and Santolan,False
LTFRB,(Alabang) Pacita Complex - Sucat,LTFRB_PUJ1035,LTFRB_PUJ1035|LTFRB_PUJ1036,2,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - South Luzon Expressway, Muntinlupa City, Manila",True
LTFRB,A RIVERA - STA CRUZ,LTFRB_PUJ1826,LTFRB_PUJ1826|LTFRB_PUJ2137|LTFRB_PUJ2138,3,"Antonio Rivera, Manila - A F. Torres, Manila",True
LTFRB,A Rivera Plaza Dela Barca via J Santo,LTFRB_PUJ2448,LTFRB_PUJ2448|LTFRB_PUJ2449,2,"Reina Regente / Dadivas Intersection, Manila - Jose Abad Santos Ave./ Villaruel Street Villaruel Intersection, Manila",True
LTFRB,A. Bonifacio - A. Mabini via 10th Avenue,LTFRB_PUJ1003,LTFRB_PUJ1003|LTFRB_PUJ1004,2,"Kamantigue / 11th Avenue, Caloocan City - Mercury Drug, A. Mabini Avenue, Caloocan City",True
LTFRB,A. Bonifacio - E. Rodriguez via D. Tuazon,LTFRB_PUJ1005,LTFRB_PUJ1005|LTFRB_PUJ1006,2,"D. Tuazon / Eulogio Rodriguez Sr Ave Intersection, Manila - Tangali / Tinagan Intersection, Quezon City",True
LTFRB,A. Luna - Libertad,LTFRB_PUJ1007,LTFRB_PUJ1007|LTFRB_PUJ1008,2,"Leveriza, Manila - Antonio Arnaiz Ave / F.B. Harrison St Intersection",True
LTFRB,A. Rivera - Raon via Tomas Mapua,LTFRB_PUJ1011,LTFRB_PUJ1011|LTFRB_PUJ1012,2,"Jose Abad Santos Avenue / Tayuman Road, Quezon City - A F. Torres, Manila",True
LTFRB,AFP/PNP Housing (Taguig) - Guadalupe (ABC) via Bayani Road,LTFRB_PUJ1372,LTFRB_PUJ1372|LTFRB_PUJ1373,2,"Libingan ng mga Bayani, Bayani Road, Taguig City, Manila - Epifanio de los Santos Avenue, Makati City, Manila",True
LTFRB,ALABANG - BALIBAGO,LTFRB_PUJ1827,LTFRB_PUJ1827|LTFRB_PUJ2135,2,"Yellow Station, South Station Complex Spectrum Midway Extension,  Muntinlupa City, Manila - South Luzon Expressway, Biñan City, Manila",True
LTFRB,ALABANG - CALAMBA via EXPRESSWAY,LTFRB_PUJ2133,LTFRB_PUJ2133|LTFRB_PUJ2134,2,"South Luzon Expressway, Biñan City, Manila - National Hwy, Muntinlupa City, Manila",True
LTFRB,ALABANG - KATARUNGAN VILLAGE via MUNTINLUPA NBP,LTFRB_PUJ1828,LTFRB_PUJ1828|LTFRB_PUJ2131|LTFRB_PUJ2132,3,"C Arellano St / G Araneta St Intersection, Muntinlupa City, Manila - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",True
LTFRB,ALABANG - LANGGAM SAN PEDRO,LTFRB_PUJ2129,LTFRB_PUJ2129|LTFRB_PUJ2130,2,"BBL Trans San Pedro Terminal, National Hwy, San Pedro, Manila - National Hwy, Muntinlupa City, Manila",True
LTFRB,ALABANG - LAS PINAS,LTFRB_PUJ1830,LTFRB_PUJ1830|LTFRB_PUJ1831|LTFRB_PUJ2127,3,"Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila - Emilio Aguinaldo Hwy, Bacoor City, Manila",True
LTFRB,ALABANG - MUNTINLUPA,LTFRB_PUJ1833,LTFRB_PUJ1833|LTFRB_PUJ2125|LTFRB_PUJ2126,3,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - BBL Trans San Pedro Terminal, National Hwy, San Pedro, Manila",True
LTFRB,ALABANG - SIGNAL VILLAGE via SERVICE ROAD,LTFRB_PUJ1834,LTFRB_PUJ1834|LTFRB_PUJ2123|LTFRB_PUJ2124,3,"National Hwy, Muntinlupa City, Manila - DBP Ave, Taguig City, Manila, Manila",True
LTFRB,ALABANG - STA ROSA via EXPRESSWAY,LTFRB_PUJ2121,LTFRB_PUJ2121|LTFRB_PUJ2122,2,"National Hwy, Santa Rosa City, Manila - Yellow Station, South Station Complex Spectrum Midway Extension,  Muntinlupa City, Manila",True
LTFRB,ALMAR ZABARTE - WELCOME RTDA via REGALADO QA,LTFRB_PUJ2119,LTFRB_PUJ2119|LTFRB_PUJ2120,2,"Apo / Quezon Avenue Intersection, Quezon City - Zabarte Road / Camarin Road Intersection, Caloocan City",True
LTFRB,AMPARO - NOVALICHES,LTFRB_PUJ2117,LTFRB_PUJ2117|LTFRB_PUJ2118,2,"General Luis / Gold Intersection, Caloocan City - Makabud / Quirino Highway Intersection, Calcoocan City",True
LTFRB,ANGONO - TROPICAL STA LUCIA,LTFRB_PUJ2115,LTFRB_PUJ2115|LTFRB_PUJ2116,2,"Quezon Ave, Angono, Manila - Metro East, un-named road near Felix Road, Cainta, Manila",True
LTFRB,ANTIPOLO - CUBAO via IMELDA AVE,LTFRB_PUJ2113,LTFRB_PUJ2113|LTFRB_PUJ2114,2,"L. Sumulong Memorial Cir, Antipolo City, Manila - 8th Ave, Quezon City, Manila",True
LTFRB,ANTIPOLO - JRU ROSARIO,LTFRB_PUJ2111,LTFRB_PUJ2111|LTFRB_PUJ2112,2,"Lawson / Shaw Blvd Intersection, Mandaluyong City, Manila - P. Oliveros St / A. Bonifacio St Intersection, Antipolo City, Manila",True
LTFRB,ANTIPOLO BAYAN - SM TAYTAY ANTIPOLO HILLS,LTFRB_PUJ2109,LTFRB_PUJ2109|LTFRB_PUJ2110,2,"Lawson / Shaw Blvd Intersection, Mandaluyong City, Manila - P. Oliveros St / A. Bonifacio St Intersection, Antipolo City, Manila",True
LTFRB,ARROCEROS - CUBAO YALE,LTFRB_PUJ2105,LTFRB_PUJ2105|LTFRB_PUJ2106,2,"Globo de Oro, Manila - Aurora Blvd / Epifanio de los Santos Avenue Intersection, Quezon City, Manila",True
LTFRB,ARROCEROS - DAPITAN,LTFRB_PUJ2104,LTFRB_PUJ2104,1,"Community Centre, San Isidro Labrador, Quezon City - Globo de Oro, Manila",False
LTFRB,ARROCEROS - FAIRVIEW MARKET,LTFRB_PUJ2101,LTFRB_PUJ2101|LTFRB_PUJ2102,2,"Quezon Blvd, Manila - Quirino Highway / Maligaya Intersection, Caloocan City",True
LTFRB,ARROCEROS - PROJ 2&3 via ESPANA E RODRIGUEZ,LTFRB_PUJ2099,LTFRB_PUJ2099|LTFRB_PUJ2100,2,"Quezon Blvd, Manila - Anonas / Tampoy Intersection, Quezon City, Manila",True
LTFRB,ARROCEROS - PROJ 8 via ESPANA,LTFRB_PUJ2097,LTFRB_PUJ2097|LTFRB_PUJ2098,2,"Quezon Blvd, Manila - General Avenue / Gsisea Street Intersection, Quezon City",True
LTFRB,AURORA - LAWAN QMC,LTFRB_PUJ2095,LTFRB_PUJ2095|LTFRB_PUJ2096,2,"Molave, Quezon City, Manila - Kalayaan Ave / Elliptical Rd Intersection, Quezon City, Manila",True
LTFRB,AYALA - ZAPOTE RD,LTFRB_PUJ2093,LTFRB_PUJ2093|LTFRB_PUJ2094,2,"Makati Ave / A. Arnaiz Ave, Makati City, Manila - Zapote / Kalayaan Ave, Makati City, Manila",True
LTFRB,AYALA LANDMARK - PUREGOLD,LTFRB_PUJ2091,LTFRB_PUJ2091|LTFRB_PUJ2092,2,"South Dr / A. Arnaiz Ave Intersection, Makati City, Manila - J.P. Rizal Ave, Makati City, Manila",True
LTFRB,Alabang (Starmall) Lagro,LTFRB_PUB1001,LTFRB_PUB1001|LTFRB_PUB1002,2,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Quirino Highway / La Mesa Road Intersection, Calcoocan City",True
LTFRB,Alabang - Baclaran via Ninoy Aquino,LTFRB_PUJ1013,LTFRB_PUJ1013|LTFRB_PUJ1014,2,"Dr A. Santos Ave, Parañaque City, Manila - Redemptorist Road, Parañaque City, Manila",True
LTFRB,"Alabang - Baclaran via San Dionisio, Zapote",LTFRB_PUJ1015,LTFRB_PUJ1015|LTFRB_PUJ1016,2,"Pinaglabanan / Quirino Avenue, Parañaque City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",True
LTFRB,Alabang - Carmona,LTFRB_PUJ1017,LTFRB_PUJ1017|LTFRB_PUJ1018,2,"Governor's Drive, Carmona, Manila - Civic Dr, Muntinlupa City, Manila",True
LTFRB,Alabang - FTI via South Super Highway,LTFRB_PUJ1023,LTFRB_PUJ1023|LTFRB_PUJ1024,2,"DBP Ave, Taguig City, Manila, Manila - National Hwy / UP St Intersection, Muntinlupa City, Manila",True
LTFRB,Alabang - GMA via Carmona National Rd.,LTFRB_PUJ1019,LTFRB_PUJ1019|LTFRB_PUJ1020,2,"National Hwy, Biñan City, Manila - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",True
LTFRB,"Alabang - GMA via South Expressway, Carmona Exit",LTFRB_PUJ1021,LTFRB_PUJ1021|LTFRB_PUJ1022,2,"Biyaya Polytechnic Academy, Congressional Road, General Mariano Alvarez, Manila - South Luzon Expressway, Muntinlupa City, Manila",True
LTFRB,"Alabang - Malanday via EDSA, McArthur",LTFRB_PUB1092,LTFRB_PUB1092|LTFRB_PUB1093,2,"MRT-3 Magallanes Station, EDSA, Makati City, Manila - Mercury Drug Store, MacArthur Highway, Malanday, Valenzuela City",True
LTFRB,Alabang - Muntinlupa Bilibid Prison via Katarungan Village,LTFRB_PUJ1028,LTFRB_PUJ1028,1,"Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila - C Arellano St / G Araneta St Intersection, Muntinlupa City, Manila",False
LTFRB,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",LTFRB_PUJ1025,LTFRB_PUJ1025|LTFRB_PUJ1026,2,"BBL Trans San Pedro Terminal, National Hwy, San Pedro, Manila - National Hwy / Visayas St Intersection, Muntinlupa City, Manila",True
LTFRB,Alabang - Navotas Terminal via EDSA,LTFRB_PUB1095,LTFRB_PUB1095|LTFRB_PUB1119,2,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",True
LTFRB,"Alabang - Novaliches via EDSA, NLEX",LTFRB_PUB1096,LTFRB_PUB1096|LTFRB_PUB1097,2,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - North Luzon Expressway / Santiago Street Intersection, Valenzuela City",True
LTFRB,Alabang - Pasay RTDA. Via FTI Service Rd.,LTFRB_PUJ1029,LTFRB_PUJ1029|LTFRB_PUJ1030,2,"DBP Ave, Taguig City, Manila, Manila - Epifanio de los Santos Avenue, Lungsod ng Pasay",True
LTFRB,Alabang - Pasay RTDA. Via South Super Highway,LTFRB_PUJ1031,LTFRB_PUJ1031,1,"DBP Ave, Taguig City, Manila, Manila - Epifanio de los Santos Avenue, Diosdado Macapagal Blvd, Lungsod ng Pasay",False
LTFRB,Alabang - Plaza Lawton,LTFRB_PUB1098,LTFRB_PUB1098|LTFRB_PUB1099,2,"Alabang-Zapote Road, Muntinlupa City, Manila - Plaza Santa Cruz, Manila City",True
LTFRB,Alabang - Signal Village via South Expressway Service Road,LTFRB_PUJ1033,LTFRB_PUJ1033|LTFRB_PUJ1034,2,"DBP Ave, Taguig City, Manila, Manila - National Hwy / UP St Intersection, Muntinlupa City, Manila",True
LTFRB,Alabang - Sucat via Cupang (East Service Rd.),LTFRB_PUJ1037,LTFRB_PUJ1037|LTFRB_PUJ1038,2,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Dr A. Santos Ave, Parañaque City, Manila",True
LTFRB,Alabang - Zapote (Las Piñas),LTFRB_PUJ1040,LTFRB_PUJ1040,1,"Quirino Ave, Bacoor City, Manila - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",False
LTFRB,Alabang Almanza,LTFRB_PUJ2454,LTFRB_PUJ2454|LTFRB_PUJ2455,2,"Spectrum Midway Extension, Muntinlupa City, Manila - Alabang-Zapote Road, Muntinlupa City, Manila",True
