route_id,route_long_name,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source
LTFRB_PUJ1001,HULO - P. VICTORINO/KALENTONG,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1002,HULO - P. VICTORINO/KALENTONG,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1003,A. Bonifacio - A. Mabini via 10th Avenue,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1004,A. Bonifacio - A. Mabini via 10th Avenue,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1005,A. Bonifacio - E. Rodriguez via D. Tuazon,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1006,A. Bonifacio - E. Rodriguez via D. Tuazon,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1007,A. Luna - Libertad,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1008,A. Luna - Libertad,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1009,Mayhaligue - Plaza dela Barca via J.A.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1010,Mayhaligue - Plaza dela Barca via J.A.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1011,A. Rivera - Raon via Tomas Mapua,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1012,A. Rivera - Raon via Tomas Mapua,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1013,Alabang - Baclaran via Ninoy Aquino,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1014,Alabang - Baclaran via Ninoy Aquino,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1015,"Alabang - Baclaran via San Dionisio, Zapote",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1016,"Alabang - Baclaran via San Dionisio, Zapote",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1017,Alabang - Carmona,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1018,Alabang - Carmona,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1019,Alabang - GMA via Carmona National Rd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1020,Alabang - GMA via Carmona National Rd.,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1021,"Alabang - GMA via South Expressway, Carmona Exit",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1022,"Alabang - GMA via South Expressway, Carmona Exit",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1023,Alabang - FTI via South Super Highway,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1024,Alabang - FTI via South Super Highway,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1025,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1026,"Alabang - Muntinlupa via National Rd. up to Bayan-bayanan, San Pedro",1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1028,Alabang - Muntinlupa Bilibid Prison via Katarungan Village,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1029,Alabang - Pasay RTDA. Via FTI Service Rd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1030,Alabang - Pasay RTDA. Via FTI Service Rd.,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
LTFRB_PUJ1031,Alabang - Pasay RTDA. Via South Super Highway,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday
