route_id,nearest_substation_distance_km,nearest_substation_osm_id,nearest_mapped_charger_distance_km,nearest_charger_osm_id,electricity_kwh_day_low,electricity_kwh_day_base,electricity_kwh_day_high,mapped_substation_proximity_score,mapped_charger_proximity_score,candidate_terminal_count,terminal_evidence_score,energy_manageability_score,charging_readiness_score,utility_capacity_verified,charging_site_verified,charging_evidence_confidence,charging_source_ids,charging_claim_status,charging_method_version,charging_limitation
LTFRB_PUJ1001,0.747,way/440588497,1.195,node/9462686325,1811.418,2156.45,2213.955,100.0,82.0,2,40.0,84.96467565831728,82.74,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1002,0.747,way/440588497,1.195,node/9462686325,1742.16,2074.0,2129.307,100.0,82.0,2,40.0,85.58766859344894,82.9,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1003,0.727,way/617091970,3.355,node/13895420988,908.922,1082.05,1110.905,100.0,58.0,2,40.0,93.08285163776493,78.77,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1004,0.727,way/617091970,3.355,node/13895420988,908.922,1082.05,1110.905,100.0,58.0,2,40.0,93.08285163776493,78.77,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1005,0.764,way/450041326,1.512,node/13895420988,1154.895,1374.875,1411.538,100.0,82.0,2,40.0,90.87026332691073,84.22,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1006,0.764,way/450041326,1.512,node/13895420988,1266.993,1508.325,1548.547,100.0,82.0,2,40.0,89.86191393705845,83.97,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1007,0.374,way/291478089,1.777,node/6836063735,801.465,954.125,979.568,100.0,82.0,2,40.0,94.04945407835581,85.01,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1008,0.374,way/291478089,1.777,node/6836063735,803.964,957.1,982.623,100.0,82.0,2,40.0,94.02697495183044,85.01,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1009,0.194,way/182922897,4.536,node/13895420988,420.189,500.225,513.564,100.0,58.0,2,40.0,97.4791265253693,79.87,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
LTFRB_PUJ1010,0.194,way/182922897,4.536,node/13895420988,420.189,500.225,513.564,100.0,58.0,2,40.0,97.4791265253693,79.87,False,False,38.0,osm_power_snapshot_2026_08_20|route2zero_climate_scenario_v1,PROXY,charging-v1.0,"Mapped proximity is not proof of distribution capacity, site control, interconnection approval or charger availability."
