route_id,corridor_cluster_id,corridor_type_label,cluster_distance,cluster_outlier_flag,typology_pca_x,typology_pca_y,clustering_model_version,typology_claim_status
LTFRB_PUJ1001,1,High-Stop-Density Core,1.189,False,-1.4059,0.7909,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1002,1,High-Stop-Density Core,0.99,False,-1.3333,0.8408,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1003,2,Long Regional Connector,7.0721,True,-3.0102,2.2579,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1004,1,High-Stop-Density Core,2.864,False,-1.8322,0.5702,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1005,1,High-Stop-Density Core,1.1905,False,-1.7887,0.0596,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1006,1,High-Stop-Density Core,1.2961,False,-1.7316,0.0379,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1007,1,High-Stop-Density Core,1.2743,False,-2.045,0.7487,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1008,1,High-Stop-Density Core,0.9951,False,-2.1681,0.2564,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1009,1,High-Stop-Density Core,2.5862,False,-2.4446,0.3563,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1010,1,High-Stop-Density Core,2.5862,False,-2.4446,0.3563,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1011,1,High-Stop-Density Core,2.5195,False,-2.0659,0.4591,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1012,1,High-Stop-Density Core,2.0563,False,-1.9131,0.6745,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1013,0,Dense Urban Trunk,1.4774,False,1.234,-1.1418,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1014,0,Dense Urban Trunk,1.0902,False,1.3313,-0.8298,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1015,0,Dense Urban Trunk,1.0814,False,2.7931,-0.4053,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1016,0,Dense Urban Trunk,1.2742,False,2.8022,-0.3716,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1017,0,Dense Urban Trunk,2.3879,False,0.6767,-0.9999,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1018,0,Dense Urban Trunk,2.3792,False,0.67,-1.002,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1019,0,Dense Urban Trunk,1.3144,False,0.9167,-0.6034,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1020,0,Dense Urban Trunk,1.3336,False,0.7707,-0.6022,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1021,0,Dense Urban Trunk,2.2275,False,2.6265,-1.2396,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1022,0,Dense Urban Trunk,3.773,True,4.4883,-1.2505,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1023,0,Dense Urban Trunk,2.3307,False,0.4621,0.3759,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1024,0,Dense Urban Trunk,1.557,False,1.2649,0.6919,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1025,1,High-Stop-Density Core,0.7114,False,-0.8718,-0.5579,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1026,1,High-Stop-Density Core,0.7114,False,-0.8718,-0.5579,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1028,1,High-Stop-Density Core,0.8557,False,-1.1294,-0.7049,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1029,1,High-Stop-Density Core,1.8884,False,-0.3834,0.2774,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1030,1,High-Stop-Density Core,1.7819,False,-0.365,0.2562,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1031,1,High-Stop-Density Core,1.9149,False,-0.3066,0.2624,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1033,0,Dense Urban Trunk,2.2933,False,0.5704,0.4993,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1034,2,Long Regional Connector,3.9669,False,-0.1001,0.9329,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1035,1,High-Stop-Density Core,2.4686,False,-1.8515,-1.5837,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1036,1,High-Stop-Density Core,2.292,False,-1.3911,-1.2318,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1037,1,High-Stop-Density Core,2.8536,False,-1.6916,-1.8005,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1038,1,High-Stop-Density Core,2.8536,False,-1.6916,-1.8005,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1040,0,Dense Urban Trunk,1.3375,False,0.7935,-0.2742,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1041,0,Dense Urban Trunk,0.4415,False,2.0111,-0.0937,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1042,0,Dense Urban Trunk,0.614,False,2.1067,-0.0941,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1043,0,Dense Urban Trunk,3.0395,False,4.3415,0.2726,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1044,0,Dense Urban Trunk,2.9068,False,4.1938,0.2081,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1045,0,Dense Urban Trunk,1.7597,False,3.2571,-0.4476,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1046,0,Dense Urban Trunk,1.4003,False,2.6356,-0.8725,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1047,0,Dense Urban Trunk,1.6513,False,1.9604,-0.8741,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1048,0,Dense Urban Trunk,1.6479,False,1.9209,-0.8699,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1049,0,Dense Urban Trunk,1.8033,False,3.4136,0.0917,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1050,0,Dense Urban Trunk,1.7294,False,3.3455,0.1068,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1051,0,Dense Urban Trunk,1.9655,False,1.0429,-1.5526,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1053,0,Dense Urban Trunk,0.6524,False,2.4288,0.0681,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1054,0,Dense Urban Trunk,0.8006,False,2.5325,0.0447,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1055,0,Dense Urban Trunk,0.8473,False,1.6724,0.8244,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1056,0,Dense Urban Trunk,1.067,False,1.4694,0.9404,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1057,1,High-Stop-Density Core,0.8595,False,-1.3809,0.5984,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1058,1,High-Stop-Density Core,0.8595,False,-1.3809,0.5984,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1059,1,High-Stop-Density Core,1.2925,False,-0.3462,0.3668,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1060,1,High-Stop-Density Core,0.7306,False,-0.7666,0.1518,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1061,1,High-Stop-Density Core,1.6305,False,-2.4226,-0.4804,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1062,1,High-Stop-Density Core,1.8237,False,-2.2467,-0.8151,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1063,1,High-Stop-Density Core,2.1986,False,-2.192,-1.9634,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1064,1,High-Stop-Density Core,2.1984,False,-2.1921,-1.9637,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1065,0,Dense Urban Trunk,0.9712,False,1.0736,-0.1468,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1066,0,Dense Urban Trunk,0.8272,False,1.2099,0.0491,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1067,1,High-Stop-Density Core,2.1559,False,-1.945,-2.0308,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1068,1,High-Stop-Density Core,2.0622,False,-1.9239,-1.9452,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1069,1,High-Stop-Density Core,2.7065,False,-2.1244,-2.4356,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1070,1,High-Stop-Density Core,1.7001,False,-1.543,-1.2819,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1071,0,Dense Urban Trunk,1.1247,False,1.2458,0.7867,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1072,0,Dense Urban Trunk,1.1152,False,1.3048,0.7707,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1073,0,Dense Urban Trunk,1.0566,False,0.9246,0.3229,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1074,0,Dense Urban Trunk,1.341,False,0.6941,0.212,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1075,0,Dense Urban Trunk,0.9811,False,1.3639,0.7121,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1076,0,Dense Urban Trunk,1.0286,False,1.4479,0.8099,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1077,0,Dense Urban Trunk,1.3885,False,0.7172,0.5059,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1078,0,Dense Urban Trunk,1.1906,False,0.8489,0.452,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1079,0,Dense Urban Trunk,1.0969,False,0.9969,0.356,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1080,0,Dense Urban Trunk,1.1427,False,0.9397,0.2514,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1081,1,High-Stop-Density Core,1.6802,False,-0.0636,0.1547,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1083,0,Dense Urban Trunk,0.3912,False,1.6785,-0.1626,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1084,0,Dense Urban Trunk,0.9035,False,1.5514,-0.1521,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1085,0,Dense Urban Trunk,1.5993,False,0.437,0.5089,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1086,0,Dense Urban Trunk,1.5691,False,0.4741,0.4737,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1087,1,High-Stop-Density Core,1.611,False,0.145,-0.2351,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1088,0,Dense Urban Trunk,1.6483,False,0.3943,-0.3268,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1089,0,Dense Urban Trunk,1.0748,False,1.0817,0.6158,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1090,0,Dense Urban Trunk,1.0874,False,1.0866,0.6288,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1091,0,Dense Urban Trunk,1.1594,False,1.2506,0.7715,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1094,0,Dense Urban Trunk,1.0061,False,1.0536,0.3665,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1095,0,Dense Urban Trunk,1.4893,False,1.2506,-1.1007,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1096,0,Dense Urban Trunk,1.4893,False,1.2506,-1.1007,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1097,0,Dense Urban Trunk,1.5545,False,1.1563,-1.073,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1098,0,Dense Urban Trunk,1.0946,False,1.4036,-0.8735,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1099,1,High-Stop-Density Core,1.825,False,-0.0952,-0.291,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1100,1,High-Stop-Density Core,1.5582,False,0.1828,-0.1233,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1101,0,Dense Urban Trunk,1.2385,False,2.9698,-0.1724,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1102,0,Dense Urban Trunk,1.2445,False,3.0197,-0.2059,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1103,1,High-Stop-Density Core,1.5368,False,-2.1921,0.8827,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1104,1,High-Stop-Density Core,1.4401,False,-2.2456,0.837,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1105,1,High-Stop-Density Core,1.7869,False,-2.3772,0.6449,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1106,1,High-Stop-Density Core,1.7396,False,-2.3455,0.6586,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1107,0,Dense Urban Trunk,3.919,True,0.7535,-3.6879,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1108,0,Dense Urban Trunk,3.8687,True,0.9593,-3.6712,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1109,0,Dense Urban Trunk,0.9215,False,1.6452,0.6821,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1110,0,Dense Urban Trunk,0.9093,False,1.6189,0.6941,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1111,1,High-Stop-Density Core,0.8653,False,-1.2594,0.5556,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1112,1,High-Stop-Density Core,0.9098,False,-1.0856,0.634,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1113,1,High-Stop-Density Core,2.3179,False,-2.4708,-1.9812,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1114,1,High-Stop-Density Core,2.3493,False,-2.2101,-0.9077,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1116,2,Long Regional Connector,4.4665,False,-1.7566,1.2008,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1117,1,High-Stop-Density Core,1.2362,False,-0.4885,0.5138,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1118,1,High-Stop-Density Core,1.4956,False,-0.1181,0.3061,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1121,1,High-Stop-Density Core,1.027,False,-1.9611,0.6535,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1122,2,Long Regional Connector,2.5354,False,-2.3293,1.3185,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1123,2,Long Regional Connector,1.4813,False,-2.5591,1.6734,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1124,1,High-Stop-Density Core,1.2907,False,-2.1608,0.8611,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1125,2,Long Regional Connector,1.6292,False,-2.1506,1.4047,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1128,1,High-Stop-Density Core,0.8746,False,-1.5854,0.7517,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1129,2,Long Regional Connector,5.4187,False,-3.0073,1.173,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1130,1,High-Stop-Density Core,1.1477,False,-1.3942,0.8287,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1131,1,High-Stop-Density Core,1.1477,False,-1.3942,0.8287,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1132,0,Dense Urban Trunk,1.1185,False,1.8195,0.4183,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1133,0,Dense Urban Trunk,1.1185,False,1.8195,0.4183,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1134,1,High-Stop-Density Core,2.8195,False,-1.6147,0.0176,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1135,1,High-Stop-Density Core,2.8195,False,-1.6147,0.0176,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1136,0,Dense Urban Trunk,1.6154,False,2.5429,0.6664,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1137,0,Dense Urban Trunk,1.2523,False,2.0661,0.7794,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1138,1,High-Stop-Density Core,1.5652,False,-2.1755,0.4925,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1139,1,High-Stop-Density Core,2.1466,False,-2.1595,0.3891,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1140,0,Dense Urban Trunk,1.6704,False,0.8835,0.7803,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1141,0,Dense Urban Trunk,1.8938,False,0.5474,0.7358,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1142,1,High-Stop-Density Core,2.7199,False,-1.6054,0.3172,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1143,1,High-Stop-Density Core,2.7199,False,-1.6054,0.3172,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1144,1,High-Stop-Density Core,1.8452,False,-1.1294,1.5076,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1145,1,High-Stop-Density Core,2.3314,False,-0.8969,1.7559,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1146,0,Dense Urban Trunk,1.7086,False,3.3264,-0.6545,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1147,0,Dense Urban Trunk,1.8115,False,3.45,-0.6543,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1148,1,High-Stop-Density Core,2.6142,False,-2.0474,-2.1157,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1149,1,High-Stop-Density Core,2.6155,False,-2.0471,-2.1152,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1150,0,Dense Urban Trunk,1.2697,False,0.9607,0.6119,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1151,0,Dense Urban Trunk,1.2995,False,0.9504,0.6058,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1152,0,Dense Urban Trunk,4.0192,True,5.7639,-0.5724,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1153,0,Dense Urban Trunk,4.1015,True,5.8532,-0.5974,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1154,0,Dense Urban Trunk,2.8751,False,4.0439,-1.5922,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1155,0,Dense Urban Trunk,2.8585,False,4.0978,-1.503,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1156,0,Dense Urban Trunk,4.6674,True,6.0586,-0.3005,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1157,0,Dense Urban Trunk,4.3264,True,5.6632,-0.5021,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1159,1,High-Stop-Density Core,2.3092,False,-1.8571,0.7276,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1160,1,High-Stop-Density Core,1.1008,False,-1.1328,0.4395,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1161,1,High-Stop-Density Core,1.2875,False,-1.1202,0.4063,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1162,1,High-Stop-Density Core,1.3879,False,-2.0033,0.9014,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1163,1,High-Stop-Density Core,1.3798,False,-2.0349,0.8948,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1164,0,Dense Urban Trunk,1.2626,False,1.1296,0.8987,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1165,0,Dense Urban Trunk,1.49,False,1.0134,0.9477,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1166,0,Dense Urban Trunk,1.3375,False,0.8901,0.5176,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1167,0,Dense Urban Trunk,1.2374,False,0.8511,0.3684,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1168,0,Dense Urban Trunk,1.5427,False,0.6786,0.7788,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1169,0,Dense Urban Trunk,1.4908,False,0.7939,0.8811,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1170,1,High-Stop-Density Core,1.7177,False,0.0649,0.272,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1171,0,Dense Urban Trunk,1.6405,False,0.4236,0.5651,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1172,1,High-Stop-Density Core,2.4683,False,-1.8801,0.7083,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1173,2,Long Regional Connector,2.8051,False,-1.3763,2.2878,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1174,0,Dense Urban Trunk,1.4231,False,1.2557,1.1022,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1175,0,Dense Urban Trunk,1.475,False,1.2272,1.1146,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1176,0,Dense Urban Trunk,1.328,False,1.0841,0.9472,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1177,0,Dense Urban Trunk,1.3631,False,1.0537,0.9691,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1178,0,Dense Urban Trunk,1.1721,False,0.8547,0.454,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1179,0,Dense Urban Trunk,1.3965,False,0.7238,0.5238,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1180,1,High-Stop-Density Core,1.3244,False,-0.2967,0.7461,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1181,1,High-Stop-Density Core,1.376,False,-0.2661,0.7845,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1182,1,High-Stop-Density Core,0.8193,False,-1.9741,0.2935,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1183,1,High-Stop-Density Core,0.8084,False,-1.9522,0.2685,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1184,1,High-Stop-Density Core,2.254,False,0.0968,0.6782,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1185,1,High-Stop-Density Core,2.2276,False,0.0606,0.6824,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1186,1,High-Stop-Density Core,1.598,False,0.1293,0.5726,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1187,1,High-Stop-Density Core,1.7111,False,0.2204,0.6577,typology-v1-ab8203c9,ML_ESTIMATED
LTFRB_PUJ1188,1,High-Stop-Density Core,1.9395,False,-1.4186,1.2681,typology-v1-ab8203c9,ML_ESTIMATED
