route_id,normalized_corridor_id,historic_daily_vehicle_km_proxy,ml_service_intensity_prediction,ml_service_intensity_residual,ml_service_intensity_anomaly_flag,ml_prediction_source,ml_prediction_claim_status,ml_model_version,ml_model_meaningful_vs_baseline,ml_service_intensity_used
LTFRB_PUJ1001,hulo__p-victorino-kalentong,5175.48,5267.889,-92.40900000000056,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1002,hulo__p-victorino-kalentong,4977.599999999999,4958.5,19.099999999999454,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1003,a-bonifacio__a-mabini,2596.92,2605.113,-8.192999999999756,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1004,a-bonifacio__a-mabini,2596.92,2605.113,-8.192999999999756,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1005,a-bonifacio__e-rodriguez,3299.7,3275.018,24.68199999999979,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1006,a-bonifacio__e-rodriguez,3619.98,3675.409,-55.42900000000009,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1007,a-luna__libertad,2289.9,2247.399,42.501000000000204,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1008,a-luna__libertad,2297.04,2209.526,87.51400000000012,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1009,mayhaligue__plaza-dela-barca,1200.54,1168.303,32.23699999999985,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1010,mayhaligue__plaza-dela-barca,1200.54,1168.303,32.23699999999985,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1011,a-rivera__raon,2213.4,2237.563,-24.16300000000001,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1012,a-rivera__raon,2397.0,2353.349,43.65099999999984,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1013,alabang__baclaran,13834.26,13788.502,45.75799999999981,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1014,alabang__baclaran,13737.36,13689.416,47.944000000001324,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1015,alabang__baclaran,18836.34,18981.856,-145.51599999999962,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1016,alabang__baclaran,19646.22,19542.57,103.65000000000146,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1017,alabang__carmona,12414.42,12398.466,15.953999999999724,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1018,alabang__carmona,12343.02,12385.777,-42.75699999999961,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1019,alabang__gma,12327.72,12362.395,-34.67500000000109,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1020,alabang__gma,11116.98,11239.792,-122.8119999999999,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1021,alabang__gma,20522.4,20780.176,-257.775999999998,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1022,alabang__gma,32162.64,29412.668,2749.971999999998,True,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1023,alabang__fti,11571.9,11451.105,120.79500000000007,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1024,alabang__fti,14656.38,14471.914,184.46599999999853,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1025,alabang__muntinlupa,6153.660000000001,6177.036,-23.375999999999294,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1026,alabang__muntinlupa,6153.660000000001,6177.036,-23.375999999999294,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1028,alabang__muntinlupa-bilibid-prison,6105.719999999999,6042.906,62.813999999999396,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1029,alabang__pasay-rtda,8257.92,8382.633,-124.71299999999974,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1030,alabang__pasay-rtda,8296.68,8298.588,-1.907999999999447,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1031,alabang__pasay-rtda,8596.560000000001,8684.09,-87.52999999999884,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1033,alabang__signal-village,11763.66,11778.696,-15.036000000000058,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1034,alabang__signal-village,14290.2,14158.447,131.7530000000006,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1035,alabang-pacita-complex__sucat,3719.94,3690.319,29.621000000000095,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1036,alabang-pacita-complex__sucat,6869.700000000001,6715.301,154.39900000000034,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1037,alabang__sucat,4548.179999999999,4446.939,101.24099999999908,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1038,alabang__sucat,4548.179999999999,4446.939,101.24099999999908,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1040,alabang__zapote-las-pinas,11533.14,11624.127,-90.98700000000099,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1041,almanza-las-pinas__baclaran,15120.48,15141.014,-20.53399999999965,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1042,almanza-las-pinas__baclaran,15898.74,15740.699,158.04099999999926,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1043,antipolo__cubao,22671.54,22657.904,13.636000000002241,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1044,antipolo__cubao,21995.28,22167.813,-172.53299999999945,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1045,antipolo__cubao,21618.9,21583.932,34.96800000000076,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1046,antipolo__cubao,19406.52,19431.967,-25.447000000000116,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1047,antipolo__edsa-shaw-blvd,14334.06,14415.684,-81.6239999999998,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1048,antipolo__edsa-shaw-blvd,14113.74,13996.511,117.22899999999936,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1049,antipolo__jrc-ortigas-shaw,17960.16,17957.523,2.6369999999988067,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1050,antipolo__jrc-ortigas-shaw,17630.7,17650.47,-19.770000000000437,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
LTFRB_PUJ1051,antipolo-cogeo__marikina,13580.28,13435.338,144.94200000000092,False,grouped_cv_historic_service_activity_model,ML_ESTIMATED,service-v1-266e0b1d,True,False
