route_id,portfolio_scenario_id,phase1_selected,simple_top_n_selected,portfolio_exclusion_reason
LTFRB_PUJ1353,prt-b73fa05705,True,True,selected
LTFRB_PUJ1241,prt-b73fa05705,True,True,selected
LTFRB_PUJ2083,prt-b73fa05705,True,True,selected
LTFRB_PUJ1352,prt-b73fa05705,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1240,prt-b73fa05705,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1156,prt-b73fa05705,True,True,selected
LTFRB_PUJ2084,prt-b73fa05705,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1157,prt-b73fa05705,False,True,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1638,prt-b73fa05705,True,False,selected
LTFRB_PUJ1350,prt-b73fa05705,True,False,selected
LTFRB_PUJ1153,prt-b73fa05705,True,False,selected
LTFRB_PUJ1639,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1152,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2120,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2101,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ2102,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1405,prt-b73fa05705,True,False,selected
LTFRB_PUJ2119,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1648,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1649,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1022,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1937,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1043,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1680,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1936,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1605,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1351,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
LTFRB_PUJ1640,prt-b73fa05705,False,False,"not selected after evidence, equity and city-coverage constraints"
