route_id,route_short_name,route_long_name,route_desc,representative_trip_id,length_km,geometry_source,stop_count,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source,daily_vehicle_km_proxy,emissions_potential_score,emissions_source,emissions_confidence,equity_overlap_pct,corridor_population_proxy,equity_score,equity_source,equity_confidence,manually_digitized,high_density_cutoff_people_per_cell,catchment_buffer_m,grid_feasibility_score,grid_renewable_share_pct,grid_emission_factor_tco2_mwh,grid_region,grid_source,grid_confidence,route_level_spatial_variation_available,operator_readiness_score,operator_notes,operator_source,operator_readiness_placeholder,score_complete,equity_verified,just_transition_score,rank,ranking_method,ranking_ai_influence,default_weights,overall_confidence
LTFRB_PUJ1353,,Francisco Homes - Cubao,"Most Scared Heart of Jesus Parish, Un-named Road, City of San Jose del Monte - General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila",725348,30.966,stop_sequence_approx,124,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,31585.32,98.18,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,77.421,1040091.8,77.42,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,71.38,1,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1241,,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.,"F.B. Harrison Street / Taft Avenue Extension Intersection, Lungsod ng Pasay, Manila - Block-B Internal Rd, Lungsod ng Dasmariñas, Manila",725906,30.747,stop_sequence_approx,100,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,31361.94,97.48,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,73.309,1090423.0,73.31,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,69.69,2,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ2083,,BACLARAN - DASMARINAS B BAYAN,"Block-B Internal Rd, Lungsod ng Dasmariñas, Manila - Roxas Blvd / C. Rivera Intersection, Parañaque City, Manila",725117,30.518,stop_sequence_approx,97,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,31128.36,96.74,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,73.608,1012249.3,73.61,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,69.54,3,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1156,,Binangonan - Pasig (TP),"Quezon Ext. Binangonan, Manila - Market Ave, Pasig City, Manila",726180,30.79,stop_sequence_approx,135,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,31405.8,97.62,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,70.318,938765.6,70.32,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,68.7,4,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1240,,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.,"Block-B Internal Rd, Lungsod ng Dasmariñas, Manila - F.B. Harrison Street / Taft Avenue Extension Intersection, Lungsod ng Pasay, Manila",726097,29.611,stop_sequence_approx,93,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,30203.22,93.83,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,72.644,1100401.3,72.64,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,68.18,5,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1352,,Francisco Homes - Cubao,"General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila - Most Scared Heart of Jesus Parish, Un-named Road, City of San Jose del Monte",725405,28.319,stop_sequence_approx,114,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,28885.38,89.68,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,76.585,944551.1,76.58,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,68.11,6,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ2084,,BACLARAN - DASMARINAS B BAYAN,"Roxas Blvd / C. Rivera Intersection, Parañaque City, Manila - Block-B Internal Rd, Lungsod ng Dasmariñas, Manila",724869,28.844,stop_sequence_approx,92,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,29420.88,91.37,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,73.608,1012249.3,73.61,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,67.66,7,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1157,,Binangonan - Pasig (TP),"Market Ave, Pasig City, Manila - Quezon Ext. Binangonan, Manila",725323,29.528,stop_sequence_approx,132,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,30118.56,93.56,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,70.196,825975.9,70.2,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,67.23,8,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1350,,Francisco Homes - Philcoa,"San Jose Water District, Un-named Road, City of San Jose del Monte - Kalayaan Ave / Elliptical Rd Intersection, Quezon City, Manila",726037,27.369,stop_sequence_approx,109,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,27916.38,86.63,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,71.865,834726.9,71.87,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,65.39,9,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
LTFRB_PUJ1405,,"Bagong Silang - Philcoa via Commonwealth Ave., Maligaya Park","Sto. Nino Parish, Old Zabarte, Caloocan City - Philippine Coconut Authority, Commonwealth Avenue, Quezon City",724701,22.635,stop_sequence_approx,91,1.0,17.0,1020.0,2.0,gtfs_frequencies_typical_weekday,23087.7,71.43,gtfs_route_length_x_estimated_trips_proxy,proxy_not_measured_emissions,86.007,973483.7,86.01,worldpop_2020_1km_population_density_proxy,low_resolution_density_not_settlement_boundaries,False,14641.191,300,16.12,16.118,0.7181,Luzon,DOE_2024_Luzon_renewable_generation_share,coarse_regional_proxy_no_depot_capacity_data,False,50.0,,neutral_placeholder_awaiting_cooperative_financing_data,True,True,True,65.02,10,deterministic_weighted_sum,False,emissions=0.35|equity=0.35|grid=0.15|operator=0.15,proxy_mix_with_operator_placeholder
