route_id,primary_city,cities_served,city_count,city_tag_method,city_tag_confidence,boundary_source_id
LTFRB_PUJ1353,San Jose del Monte,San Jose del Monte|Quezon City,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1241,Pasay,Pasay|Dasmarinas,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ2083,Dasmarinas,Dasmarinas|Paranaque,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1352,Quezon City,Quezon City|San Jose del Monte,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1240,Dasmarinas,Dasmarinas|Pasay,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1156,Binangonan,Binangonan|Pasig,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ2084,Paranaque,Paranaque|Dasmarinas,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1157,Pasig,Pasig|Binangonan,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1638,Mandaluyong,Mandaluyong|Manila|Antipolo,3,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1350,San Jose del Monte,San Jose del Monte|Quezon City,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1153,Mandaluyong,Mandaluyong|Binangonan,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1639,Manila,Manila|Mandaluyong|Antipolo,3,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1152,Binangonan,Binangonan|Mandaluyong,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ2120,Caloocan,Caloocan|Manila,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ2101,Manila,Manila|Caloocan,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ2102,Caloocan,Caloocan|Manila,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1405,Caloocan,Caloocan|Quezon City,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ2119,Quezon City,Quezon City|Caloocan,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1648,Las Pinas,Las Pinas|Manila,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1649,Manila,Manila|Las Pinas,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1022,Muntinlupa,Muntinlupa|General Mariano Alvarez|Carmona,3,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1937,Quezon City,Quezon City|Manila,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1043,Antipolo,Antipolo|Quezon City,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1680,Manila,Manila|Quezon City,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1936,Manila,Manila|Quezon City,2,text_fallback,low_requires_boundary_validation,
LTFRB_PUJ1605,Caloocan,Caloocan|Quezon City,2,text_fallback,low_requires_boundary_validation,
