route_id,route_short_name,route_long_name,route_desc,representative_trip_id,length_km,geometry_source,stop_count,avg_headway_min,daily_service_window_hrs,trips_per_day_estimate,weekday_frequency_rows,frequency_source,daily_vehicle_km_proxy,corridor_population_proxy,equity_overlap_pct,endpoint_distance_km,geometry_detour_ratio,duplicate_stop_fraction,max_consecutive_stop_gap_km,geometry_valid,self_intersection_flag,geometry_reliability_score,geometry_reliability_grade,geometry_reliability_reasons,geometry_validation_required,geometry_claim_status,hub_connectivity_count,validation_status,active_status,validation_date,validator,source_type,source_reference,notes,observed_headway_min,observed_service_window_hrs,geometry_verified,operator_name_if_verified,evidence_quality,normalized_corridor_id,stops_per_km,mean_stop_spacing_m,geometry_source_is_shape,historic_daily_vehicle_km_proxy,service_input_claim_status,feature_source_ids
LTFRB_PUJ1001,,HULO - P. VICTORINO/KALENTONG,"Alchan, Mandaluyong City, Manila - Jose Rizal University, J Fabella St, Mandaluyong City, Manila",725698,5.074,stop_sequence_approx,17,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,5175.48,295279.4,94.077,2.864,1.772,0.0,0.53,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,hulo__p-victorino-kalentong,3.3504138746551044,317.125,0,5175.48,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1002,,HULO - P. VICTORINO/KALENTONG,"Jose Rizal University, J Fabella St, Mandaluyong City, Manila - Alchan, Mandaluyong City, Manila",725418,4.88,stop_sequence_approx,18,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,4977.599999999999,338414.3,94.832,2.864,1.704,0.0,0.433,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,hulo__p-victorino-kalentong,3.6885245901639343,287.05882352941177,0,4977.599999999999,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1003,,A. Bonifacio - A. Mabini via 10th Avenue,"Kamantigue / 11th Avenue, Caloocan City - Mercury Drug, A. Mabini Avenue, Caloocan City",725326,2.546,stop_sequence_approx,16,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,2596.92,295272.3,100.0,2.379,1.07,0.0,0.323,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,1,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-bonifacio__a-mabini,6.284367635506678,169.73333333333332,0,2596.92,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1004,,A. Bonifacio - A. Mabini via 10th Avenue,"Mercury Drug, A. Mabini Avenue, Caloocan City - Kamantigue / 11th Avenue, Caloocan City",725383,2.546,shape,16,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,2596.92,295272.3,100.0,2.379,1.07,0.0,0.323,True,False,92.0,A,GTFS shape source,False,DERIVED,1,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-bonifacio__a-mabini,6.284367635506678,169.73333333333332,1,2596.92,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1005,,A. Bonifacio - E. Rodriguez via D. Tuazon,"D. Tuazon / Eulogio Rodriguez Sr Ave Intersection, Manila - Tangali / Tinagan Intersection, Quezon City",724954,3.235,stop_sequence_approx,16,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,3299.7,207084.3,87.301,2.896,1.117,0.0,0.351,True,False,56.0,C,ordered-stop planning approximation,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-bonifacio__e-rodriguez,4.945904173106646,215.66666666666666,0,3299.7,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1006,,A. Bonifacio - E. Rodriguez via D. Tuazon,"Tangali / Tinagan Intersection, Quezon City - D. Tuazon / Eulogio Rodriguez Sr Ave Intersection, Manila",726225,3.549,stop_sequence_approx,18,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,3619.98,207084.3,87.301,2.896,1.225,0.0,0.266,True,True,48.0,D,ordered-stop planning approximation | self-intersection detected,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-bonifacio__e-rodriguez,5.07185122569738,208.76470588235293,0,3619.98,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1007,,A. Luna - Libertad,"Leveriza, Manila - Antonio Arnaiz Ave / F.B. Harrison St Intersection",724631,2.245,stop_sequence_approx,8,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,2289.9,225215.9,96.254,2.094,1.072,0.0,0.434,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-luna__libertad,3.5634743875278394,320.7142857142857,0,2289.9,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1008,,A. Luna - Libertad,"Antonio Arnaiz Ave / F.B. Harrison St Intersection - Leveriza, Manila",724825,2.252,stop_sequence_approx,9,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,2297.04,154616.3,89.393,2.094,1.075,0.0,0.434,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,a-luna__libertad,3.9964476021314392,281.5,0,2297.04,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1009,,Mayhaligue - Plaza dela Barca via J.A.,"Jose Abad Santos Ave., Manila - Juan Luna / Veronica Intersection, Manila",725075,1.177,stop_sequence_approx,7,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,1200.54,197760.5,96.054,1.131,1.04,0.0,0.246,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,mayhaligue__plaza-dela-barca,5.94732370433305,196.16666666666666,0,1200.54,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
LTFRB_PUJ1010,,Mayhaligue - Plaza dela Barca via J.A.,"Juan Luna / Veronica Intersection, Manila - Jose Abad Santos Ave., Manila",724914,1.177,stop_sequence_approx,7,1.0,17.0,1020.0,1.0,gtfs_frequencies_typical_weekday,1200.54,197760.5,96.054,1.131,1.04,0.0,0.246,True,False,44.0,D,ordered-stop planning approximation | few representative stops,True,DERIVED,0,historic_only,uncertain,,,historic_gtfs_baseline,sakay_gtfs_master_historic,No current route validation supplied.,,,False,,historic_only,mayhaligue__plaza-dela-barca,5.94732370433305,196.16666666666666,0,1200.54,DERIVED,sakay_gtfs_master_historic|worldpop_phl_2020_1km
