city,route_count,avg_just_transition_score,top_5_route_ids,top_5_route_names
Manila,616,49.59,LTFRB_PUJ1156|LTFRB_PUJ1157|LTFRB_PUJ1153|LTFRB_PUJ1152|LTFRB_PUJ1638,"Binangonan - Pasig (TP)|Binangonan - Pasig (TP)|Binangonan - JRC via Angono|Binangonan - JRC via Angono|EDSA/Shaw Central - Morong via Antipolo, Theresa"
Quezon City,590,49.67,LTFRB_PUJ1353|LTFRB_PUJ1352|LTFRB_PUJ1350|LTFRB_PUJ1405|LTFRB_PUJ2119,"Francisco Homes - Cubao|Francisco Homes - Cubao|Francisco Homes - Philcoa|Bagong Silang - Philcoa via Commonwealth Ave., Maligaya Park|ALMAR ZABARTE - WELCOME RTDA via REGALADO QA"
Caloocan,195,49.68,LTFRB_PUJ1405|LTFRB_PUJ2101|LTFRB_PUJ2102|LTFRB_PUJ2120|LTFRB_PUJ2119,"Bagong Silang - Philcoa via Commonwealth Ave., Maligaya Park|ARROCEROS - FAIRVIEW MARKET|ARROCEROS - FAIRVIEW MARKET|ALMAR ZABARTE - WELCOME RTDA via REGALADO QA|ALMAR ZABARTE - WELCOME RTDA via REGALADO QA"
Pasay,173,49.03,LTFRB_PUJ1241|LTFRB_PUJ1240|LTFRB_PUJ1897|LTFRB_PUJ1609|LTFRB_PUJ1896,Dasmarinas Resettlement Area - Baclaran via Coastal Rd.|Dasmarinas Resettlement Area - Baclaran via Coastal Rd.|MCU - PASAY RTDA|Proj 6 - Vito cruz via Quezon Avenue|MCU - PASAY RTDA
Makati,113,44.43,LTFRB_PUJ2085|LTFRB_PUJ1370|LTFRB_PUJ1747|LTFRB_PUJ1371|LTFRB_PUJ1359,BACLARAN - DAPITAN via TAFT|Guadalupe (ABC) - FTI via J.P. Rizal Extension|GUDALUPE-FTI via J.P.RIZAL Ext. C5|Guadalupe (ABC) - FTI via J.P. Rizal Extension|Guadalupe Mkt. - L. Guinto via Pasig Line
Pasig,93,47.16,LTFRB_PUJ1156|LTFRB_PUJ1157|LTFRB_PUJ2584|LTFRB_PUJ2212|LTFRB_PUJ2582,Binangonan - Pasig (TP)|Binangonan - Pasig (TP)|Pasig-Stop Shop|EDSA Shaw Quiapo via Sta Mesa|Pasig-Quiapo via Sta Mesa
Muntinlupa,81,46.71,LTFRB_PUJ1022|LTFRB_PUJ1024|LTFRB_PUJ1034|LTFRB_PUJ1786|LTFRB_PUJ1784,"Alabang - GMA via South Expressway, Carmona Exit|Alabang - FTI via South Super Highway|Alabang - Signal Village via South Expressway Service Road|PASAY ROTUNDA - ALABANG (KANAN) via NICHOLS SERVICE RD|PASAY ROTUNDA - ALABANG via SKYWAY"
Antipolo,76,48.3,LTFRB_PUJ1638|LTFRB_PUJ1639|LTFRB_PUJ1043|LTFRB_PUJ1044|LTFRB_PUJ1640,"EDSA/Shaw Central - Morong via Antipolo, Theresa|EDSA/Shaw Central - Morong via Antipolo, Theresa|Antipolo - Cubao via Marcos Highway|Antipolo - Cubao via Marcos Highway|EDSA/Shaw Central - Tanay via Antipolo"
Mandaluyong,75,48.72,LTFRB_PUJ1153|LTFRB_PUJ1152|LTFRB_PUJ1638|LTFRB_PUJ1639|LTFRB_PUJ1640,"Binangonan - JRC via Angono|Binangonan - JRC via Angono|EDSA/Shaw Central - Morong via Antipolo, Theresa|EDSA/Shaw Central - Morong via Antipolo, Theresa|EDSA/Shaw Central - Tanay via Antipolo"
Taguig,64,48.66,LTFRB_PUJ1024|LTFRB_PUJ1034|LTFRB_PUJ2306|LTFRB_PUJ2305|LTFRB_PUJ1109,Alabang - FTI via South Super Highway|Alabang - Signal Village via South Expressway Service Road|Binan Bicutan(Taguig) via Sucat SSH|Binan Bicutan(Taguig) via Sucat SSH|Bagumbayan (Taguig) - Pasig (TP) via San Joaquin
Parañaque,62,43.32,LTFRB_PUJ2083|LTFRB_PUJ2084|LTFRB_PUJ2306|LTFRB_PUJ2305|LTFRB_PUJ2329,BACLARAN - DASMARINAS B BAYAN|BACLARAN - DASMARINAS B BAYAN|Binan Bicutan(Taguig) via Sucat SSH|Binan Bicutan(Taguig) via Sucat SSH|Imus Zapote
Valenzuela,58,41.27,LTFRB_PUJ1672|LTFRB_PUJ1671|LTFRB_PUJ1615|LTFRB_PUJ1614|LTFRB_PUJ1427,"PIER-MALANDAY|PIER-MALANDAY|Malanday-Sta Cruz|Malanday-Sta Cruz|Malanday - Recto via F. Huertas, Oroquieta"
Marikina,53,43.25,LTFRB_PUJ1577|LTFRB_PUJ1576|LTFRB_PUJ1458|LTFRB_PUJ1459|LTFRB_PUJ1589,"Recto - SSS Village via Aurora Blvd., Espana|Recto - SSS Village via Aurora Blvd., Espana|Marikina - SM Fairview|Marikina - SM Fairview|SSS Village - Stop & Shop via Aurora Blvd."
Malabon,44,49.31,LTFRB_PUJ2617|LTFRB_PUJ2618|LTFRB_PUJ1849|LTFRB_PUJ1850|LTFRB_PUJ1357,"Dampalit Hulo Palengke|Dampalit Hulo Palengke|RECTO - GASAK|RECTO - GASAK|Gasak - Recto via Dagat-dagatan, C-3"
Biñan,37,47.99,LTFRB_PUJ1156|LTFRB_PUJ1157|LTFRB_PUJ1153|LTFRB_PUJ1152|LTFRB_PUJ2306,Binangonan - Pasig (TP)|Binangonan - Pasig (TP)|Binangonan - JRC via Angono|Binangonan - JRC via Angono|Binan Bicutan(Taguig) via Sucat SSH
Pateros,34,48.29,LTFRB_PUJ1526|LTFRB_PUJ1150|LTFRB_PUJ1151|LTFRB_PUJ1686|LTFRB_PUJ1687,"Pasig (TP) - Quiapo (Echague) via Sta. Mesa, C. Palanca|Bicutan (Taguig) - Pasig (TP) via Pateros|Bicutan (Taguig) - Pasig (TP) via Pateros|PASIGPALENGKE-TIPASTAGUIGVI PATEROS|PASIGPALENGKE-TIPASTAGUIGVI PATEROS"
San Juan,34,41.09,LTFRB_PUJ1580|LTFRB_PUJ1581|LTFRB_PUJ1284|LTFRB_PUJ1285|LTFRB_PUJ1966,"San Juan (Pinaglabanan) - San Juan, Taytay (Resettlement Area)|San Juan (Pinaglabanan) - San Juan, Taytay (Resettlement Area)|Divisoria - San Juan|Divisoria - San Juan|DIVISORIA - SAN JUAN via CM RECTO"
Bacoor,30,44.23,LTFRB_PUJ2407|LTFRB_PUJ2408|LTFRB_PUJ2443|LTFRB_PUJ2442|LTFRB_PUJ1101,Resettlement Zapote (DBB)|Resettlement Zapote (DBB)|Treze Martirez Zapote (Las Pinas)|Treze Martirez Zapote (Las Pinas)|Baclaran - Bahayang PAG-ASA Subd.
San Jose del Monte,26,54.32,LTFRB_PUJ1353|LTFRB_PUJ1352|LTFRB_PUJ1350|LTFRB_PUJ1351|LTFRB_PUJ2418,Francisco Homes - Cubao|Francisco Homes - Cubao|Francisco Homes - Philcoa|Francisco Homes - Philcoa|Sapang Palay Jordan Plains via Quirino Highway
Las Piñas,26,41.27,LTFRB_PUJ1648|LTFRB_PUJ1649|LTFRB_PUJ2443|LTFRB_PUJ2442|LTFRB_PUJ1042,Silang - Zapote (Las Pinas)|Silang - Zapote (Las Pinas)|Treze Martirez Zapote (Las Pinas)|Treze Martirez Zapote (Las Pinas)|Almanza ( Las Piñas ) - Baclaran
Navotas,18,52.82,LTFRB_PUJ1488|LTFRB_PUJ1489|LTFRB_PUJ2360|LTFRB_PUJ2359|LTFRB_PUJ1883,Navotas - Recto via Heroes del 96|Navotas - Recto via Heroes del 96|Navotas Recto|Navotas Recto|NAVOTAS - RECTO via DAGAT_DAGATAN C3_C4
